Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Drew Lock,DEN,15,28,151,2,2,0,0,37,63.2,2,9,0,8,0,0,0,0,0,0,0
Melvin Gordon,DEN,0,0,0,0,0,0,0,0,,15,131,0,65,2,1,11,0,11,0,0
Phillip Lindsay,DEN,0,0,0,0,0,0,0,0,,14,26,0,4,1,0,0,0,0,0,0
KJ Hamler,DEN,0,0,0,0,0,0,0,0,,2,13,0,7,5,2,16,0,8,0,0
Noah Fant,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,57,0,37,0,0
Tim Patrick,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,44,2,21,0,0
Tyrie Cleveland,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Nick Vannett,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,0,7,0,0
Jerry Jeudy,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,5,0,5,0,0
Troy Fumagalli,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Patrick Mahomes,KAN,25,40,318,1,0,1,5,30,95.6,4,26,0,20,0,0,0,0,0,0,0
Le'Veon Bell,KAN,0,0,0,0,0,0,0,0,,11,40,0,16,3,2,15,0,14,0,0
Darrel Williams,KAN,0,0,0,0,0,0,0,0,,6,38,0,12,2,1,5,0,5,0,0
Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,1,30,0,30,11,6,58,0,30,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,136,1,28,0,0
Demarcus Robinson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,39,0,20,0,0
Sammy Watkins,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,35,0,17,0,0
Nick Keizer,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Mecole Hardman,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,15,0,15,0,0
