Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Carson Wentz,LAR,17,24,163,2,1,2,14,29,99.8,17,56,1,12,0,0,0,0,0,0,0
Ronnie Rivers,LAR,0,0,0,0,0,0,0,0,,13,52,0,10,0,0,0,0,0,0,0
Zach Evans,LAR,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Royce Freeman,LAR,0,0,0,0,0,0,0,0,,4,2,0,4,1,1,13,0,13,0,0
Brycen Hopkins,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,47,0,29,0,0
Puka Nacua,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,41,1,19,0,0
Davis Allen,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,25,0,10,0,0
Ben Skowronek,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,17,0,0
Tyler Johnson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,8,1,8,0,0
Tutu Atwell,LAR,0,0,0,0,0,0,0,0,,1,-4,0,-4,4,2,7,0,4,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Sam Darnold,SFO,16,26,189,1,0,3,14,48,96.5,7,19,1,9,0,0,0,0,0,2,1
Elijah Mitchell,SFO,0,0,0,0,0,0,0,0,,14,52,1,14,2,2,15,0,8,0,0
Jordan Mason,SFO,0,0,0,0,0,0,0,0,,6,36,0,16,1,1,12,0,12,0,0
Deebo Samuel,SFO,0,0,0,0,0,0,0,0,,1,11,0,11,2,2,21,0,15,0,0
Ray-Ray McCloud,SFO,0,0,0,0,0,0,0,0,,1,7,0,7,4,3,22,0,11,0,0
Chris Conley,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,69,0,48,0,0
Brandon Aiyuk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,25,0,11,0,0
Charlie Woerner,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0
Ronnie Bell,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,5,1,5,0,0
