Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Trevor Lawrence,JAX,29,43,280,2,2,0,0,59,81.5,3,10,0,8,0,0,0,0,0,0,0
Travis Etienne,JAX,0,0,0,0,0,0,0,0,,16,57,0,12,6,5,30,0,13,0,0
Tank Bigsby,JAX,0,0,0,0,0,0,0,0,,3,16,0,8,0,0,0,0,0,0,0
Calvin Ridley,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,106,1,59,0,0
Evan Engram,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,13,10,79,1,17,0,0
Zay Jones,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,47,0,11,0,0
Parker Washington,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Tim Jones,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
D'Ernest Johnson,JAX,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill,TEN,17,26,168,2,1,2,16,28,93.1,3,-3,0,-1,1,0,0,0,0,0,0
DeAndre Hopkins,TEN,0,1,0,0,0,0,0,0,39.6,0,0,0,0,10,7,46,1,16,0,0
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,19,153,1,69,0,0,0,0,0,0,0
Tyjae Spears,TEN,0,0,0,0,0,0,0,0,,3,25,1,22,3,3,41,1,28,0,0
Chigoziem Okonkwo,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,36,0,21,0,0
Chris Moore,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,30,0,16,0,0
Kyle Philips,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,0,10,0,0
Kevin Rader,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Ty Zentner,TEN,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,0
