Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Aidan O'Connell,LVR,24,39,238,0,1,7,50,25,68.1,3,3,1,2,0,0,0,0,0,3,2
Josh Jacobs,LVR,0,0,0,0,0,0,0,0,,17,58,1,9,11,8,81,0,21,0,0
Zamir White,LVR,0,0,0,0,0,0,0,0,,3,15,0,11,0,0,0,0,0,0,0
Davante Adams,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,13,8,75,0,19,0,0
Jakobi Meyers,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,33,0,25,0,0
Ameer Abdullah,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,10,0,0
Jakob Johnson,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0
Hunter Renfrow,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,12,0,12,0,0
Austin Hooper,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Justin Herbert,LAC,13,24,167,1,1,2,17,51,72.7,12,27,2,15,0,0,0,0,0,0,0
Joshua Kelley,LAC,0,0,0,0,0,0,0,0,,17,65,0,22,0,0,0,0,0,0,0
Derius Davis,LAC,0,0,0,0,0,0,0,0,,3,51,0,51,2,2,16,0,11,1,0
Isaiah Spiller,LAC,0,0,0,0,0,0,0,0,,5,12,0,4,2,2,15,0,10,0,0
Josh Palmer,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,77,0,51,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,32,1,22,0,0
Quentin Johnston,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,18,0,18,0,0
Gerald Everett,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,6,0,0
Donald Parham,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Stone Smartt,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
