Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tim Boyle,DET,15,23,77,0,2,0,0,24,34.1,0,0,0,0,0,0,0,0,0,0,0
D'Andre Swift,DET,0,0,0,0,0,0,0,0,,14,136,1,57,4,3,0,0,2,0,0
Jason Cabinda,DET,0,0,0,0,0,0,0,0,,2,21,0,21,1,0,0,0,0,0,0
Jamaal Williams,DET,0,0,0,0,0,0,0,0,,7,11,0,5,0,0,0,0,0,0,0
T.J. Hockenson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,51,0,24,0,0
Amon-Ra St. Brown,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,18,0,10,0,0
Brock Wright,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Josh Reynolds,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Kalif Raymond,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Godwin Igwebuike,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-4,0,-4,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Baker Mayfield,CLE,15,29,176,1,2,1,11,37,53.2,4,9,0,7,0,0,0,0,0,0,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,22,130,0,15,2,2,14,1,9,0,0
D'Ernest Johnson,CLE,0,0,0,0,0,0,0,0,,5,26,0,13,0,0,0,0,0,0,0
Jarvis Landry,CLE,0,0,0,0,0,0,0,0,,1,16,1,16,8,4,26,0,13,0,0
Demetric Felton,CLE,0,0,0,0,0,0,0,0,,3,2,0,1,0,0,0,0,0,1,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,1,1,0,1,4,2,20,0,21,0,0
Austin Hooper,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,53,0,20,0,0
Ja'Marcus Bradley,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,46,0,37,0,0
Rashard Higgins,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,17,0,17,0,0
