Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Chris Streveler,ARI,11,16,105,1,1,2,10,19,81.5,3,12,0,12,0,0,0,0,0,1,0
Kyler Murray,ARI,8,11,87,0,0,2,16,26,95.6,2,3,0,7,0,0,0,0,0,0,0
Kenyan Drake,ARI,0,0,0,0,0,0,0,0,,10,36,0,12,3,3,15,0,10,0,0
Dan Arnold,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,46,0,25,0,0
Trent Sherfield,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,44,0,26,0,0
DeAndre Hopkins,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,35,0,16,0,0
KeeSean Johnson,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,7,0,0
Jonathan Ward,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,1,11,0,0
Chase Edmonds,ARI,0,0,0,0,0,0,0,0,,3,-3,0,3,2,2,28,0,19,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
John Wolford,LAR,22,38,231,0,1,2,8,38,64.7,6,56,0,14,0,0,0,0,0,0,0
Cam Akers,LAR,0,0,0,0,0,0,0,0,,21,34,0,10,4,4,52,0,38,1,1
Malcolm Brown,LAR,0,0,0,0,0,0,0,0,,3,20,0,12,1,1,-2,0,-2,0,0
Van Jefferson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,50,0,19,0,0
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,41,0,26,0,0
Robert Woods,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,36,0,27,0,0
Josh Reynolds,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,29,0,12,0,0
Gerald Everett,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,25,0,13,0,0
