Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Easton Stick,LAC,23,32,257,3,1,3,23,79,113.7,2,11,0,9,0,0,0,0,0,2,2
Isaiah Spiller,LAC,0,0,0,0,0,0,0,0,,16,50,0,8,0,0,0,0,0,0,0
Joshua Kelley,LAC,0,0,0,0,0,0,0,0,,5,22,0,11,1,1,6,0,6,1,1
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,5,9,0,6,6,4,29,0,12,0,0
Josh Palmer,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,113,1,79,0,0
Gerald Everett,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,41,0,13,1,0
Quentin Johnston,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,23,1,17,0,0
Jalen Guyton,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,14,0,0
Stone Smartt,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,15,0,6,0,0
Alex Erickson,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,1,13,0,0
Derius Davis,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,-2,0,-2,1,1
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Aidan O'Connell,LVR,20,34,248,4,0,1,6,30,120.7,0,0,0,0,0,0,0,0,0,0,0
Jakobi Meyers,LVR,2,2,12,1,0,0,0,9,131.2,0,0,0,0,4,2,32,1,22,0,0
Zamir White,LVR,0,0,0,0,0,0,0,0,,17,69,1,15,4,3,16,0,6,0,0
Ameer Abdullah,LVR,0,0,0,0,0,0,0,0,,6,32,0,9,2,2,13,0,8,0,0
Brandon Bolden,LVR,0,0,0,0,0,0,0,0,,2,25,1,26,0,0,0,0,0,0,0
Davante Adams,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,101,1,24,0,0
Michael Mayer,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,39,1,13,0,0
Hunter Renfrow,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Austin Hooper,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tre Tucker,LVR,0,0,0,0,0,0,0,0,,1,-2,0,-2,4,3,59,2,30,0,0
