Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Derek Carr,NOR,18,26,183,2,0,2,15,33,114.7,2,4,0,5,0,0,0,0,0,0,0
Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,22,80,1,10,3,3,17,0,12,0,0
Kendre Miller,NOR,0,0,0,0,0,0,0,0,,12,37,0,8,4,4,53,0,33,0,0
Taysom Hill,NOR,0,0,0,0,0,0,0,0,,3,19,0,12,1,1,1,0,1,0,0
Michael Thomas,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,65,0,26,0,0
Rashid Shaheed,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,28,0,25,0,0
Chris Olave,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,12,1,7,0,0
Foster Moreau,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,1,6,0,0
Keith Kirkwood,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
Jimmy Graham,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jameis Winston,NOR,0,0,0,0,0,0,0,0,,3,-4,0,-1,0,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Mac Jones,NWE,12,22,110,0,2,2,21,28,30.5,1,0,0,0,0,0,0,0,0,1,1
Bailey Zappe,NWE,3,9,22,0,0,0,0,9,42.4,0,0,0,0,0,0,0,0,0,0,0
Rhamondre Stevenson,NWE,0,0,0,0,0,0,0,0,,8,24,0,8,2,0,0,0,0,0,0
Ezekiel Elliott,NWE,0,0,0,0,0,0,0,0,,8,21,0,8,4,4,17,0,8,0,0
Kendrick Bourne,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,43,0,28,0,0
Demario Douglas,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,24,0,24,0,0
DeVante Parker,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,20,0,14,0,0
Mike Gesicki,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,17,0,9,0,0
JuJu Smith-Schuster,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,6,0,3,0,0
Ty Montgomery,NWE,0,0,0,0,0,0,0,0,,1,0,0,0,4,1,5,0,5,0,0
Hunter Henry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
