Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Davis Mills,HOU,8,18,102,1,1,1,7,35,58.1,2,-1,0,2,0,0,0,0,0,1,0
Tyrod Taylor,HOU,10,11,125,1,0,0,0,32,144.3,1,15,1,15,0,0,0,0,0,0,0
Mark Ingram,HOU,0,0,0,0,0,0,0,0,,14,41,0,8,2,1,-1,0,-1,0,0
David Johnson,HOU,0,0,0,0,0,0,0,0,,6,25,0,8,2,2,22,0,14,0,0
Phillip Lindsay,HOU,0,0,0,0,0,0,0,0,,5,2,0,5,1,1,22,1,22,0,0
Brandin Cooks,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,14,9,78,1,22,0,0
Andre Roberts,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,35,0,35,1,1
Nico Collins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,32,0,32,0,0
Jordan Akins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,17,0,17,0,0
Chris Conley,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0
Danny Amendola,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Pharaoh Brown,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Baker Mayfield,CLE,19,21,213,1,1,2,14,33,105.0,8,10,1,5,0,0,0,0,0,1,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,11,95,1,26,1,1,3,0,3,0,0
Kareem Hunt,CLE,0,0,0,0,0,0,0,0,,13,51,0,13,1,1,2,0,2,0,0
Demetric Felton,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,51,1,33,1,0
Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,49,0,29,0,0
Austin Hooper,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,40,0,13,0,0
Rashard Higgins,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,27,0,14,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,11,0,0
Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,1,1
Jarvis Landry,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Andy Janovich,CLE,0,0,0,0,0,0,0,0,,2,0,1,1,0,0,0,0,0,0,0
Anthony Schwartz,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
