Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Mark Sanchez,NYJ,21,45,306,1,2,1,6,66,58.2,1,4,0,4,0,0,0,0,,1,0
Tim Tebow,NYJ,0,0,0,0,0,1,5,0,,1,5,0,5,1,0,0,0,,0,0
Bilal Powell,NYJ,0,0,0,0,0,0,0,,,10,45,0,11,5,2,24,0,14,0,0
Shonn Greene,NYJ,0,0,0,0,0,0,0,,,19,40,0,9,2,2,9,0,6,0,0
Santonio Holmes,NYJ,0,0,0,0,0,0,0,,,0,0,0,,14,9,147,0,38,0,0
Jeremy Kerley,NYJ,0,0,0,0,0,0,0,,,0,0,0,,3,2,73,1,66,0,0
Jeff Cumberland,NYJ,0,0,0,0,0,0,0,,,0,0,0,,6,2,25,0,19,0,0
Chaz Schilens,NYJ,0,0,0,0,0,0,0,,,0,0,0,,3,2,16,0,8,0,0
Konrad Reuland,NYJ,0,0,0,0,0,0,0,,,0,0,0,,2,2,12,0,10,0,0
Stephen Hill,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,7,0,0,0,0,0,0
Joe McKnight,NYJ,0,0,0,0,0,0,0,,,1,-1,0,-1,0,0,0,0,,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill,MIA,16,36,196,0,1,0,0,41,50.2,3,3,0,5,0,0,0,0,,0,0
Daniel Thomas,MIA,0,0,0,0,0,0,0,,,19,69,1,9,2,1,11,0,11,1,1
Reggie Bush,MIA,0,0,0,0,0,0,0,,,10,61,0,16,1,1,1,0,1,0,0
Lamar Miller,MIA,0,0,0,0,0,0,0,,,9,48,0,22,0,0,0,0,,0,0
Jorvorskie Lane,MIA,0,0,0,0,0,0,0,,,2,4,1,3,1,1,1,0,1,0,0
Davone Bess,MIA,0,0,0,0,0,0,0,,,0,0,0,,7,5,86,0,23,0,0
Anthony Fasano,MIA,0,0,0,0,0,0,0,,,0,0,0,,10,5,47,0,17,0,0
Brian Hartline,MIA,0,0,0,0,0,0,0,,,0,0,0,,9,1,41,0,41,0,0
Anthony Armstrong,MIA,0,0,0,0,0,0,0,,,0,0,0,,6,2,9,0,9,0,0
