Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,DET,18,32,265,0,0,3,22,66,83.5,3,9,0,10,0,0,0,0,0,1,0
Kerryon Johnson,DET,0,0,0,0,0,0,0,0,,13,34,1,8,4,2,27,0,20,0,0
Jamal Agnew,DET,0,0,0,0,0,0,0,0,,1,9,0,9,0,0,0,0,0,0,0
J.D. McKissic,DET,0,0,0,0,0,0,0,0,,3,4,0,2,3,2,7,0,4,0,0
Kenny Golladay,DET,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,121,0,66,0,0
Marvin Hall,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,58,0,58,0,0
T.J. Hockenson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,21,0,7,0,0
Marvin Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,17,0,11,0,0
Jesse James,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Danny Amendola,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Nick Bawden,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Logan Thomas,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Aaron Rodgers,GNB,24,39,283,2,1,1,6,46,90.0,3,10,0,12,0,0,0,0,0,0,0
Jamaal Williams,GNB,0,0,0,0,0,0,0,0,,14,104,0,45,5,4,32,1,16,0,0
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,11,47,0,9,7,4,13,0,9,1,1
Marquez Valdes-Scantling,GNB,0,0,0,0,0,0,0,0,,1,9,0,9,2,2,48,0,46,0,0
Allen Lazard,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,65,1,35,0,0
Marcedes Lewis,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,50,0,25,0,0
Geronimo Allison,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,40,0,21,0,0
Jake Kumerow,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,17,0,10,0,0
Jimmy Graham,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,17,0,9,0,0
Darrius Shepherd,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,1,0,1,1,1
