Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joe Burrow,CIN,23,36,275,3,0,2,14,56,114.9,5,0,0,5,0,0,0,0,0,0,0
Samaje Perine,CIN,0,0,0,0,0,0,0,0,,9,47,0,7,2,2,14,1,12,0,0
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,12,24,0,9,7,3,14,0,7,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,105,1,56,0,0
Tee Higgins,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,93,0,45,0,0
Mitchell Wilcox,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Hayden Hurst,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Chris Evans,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,2,-2,0,-1,10,6,29,1,10,1,1
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joe Flacco,NYJ,28,52,285,0,2,4,33,23,53.8,0,0,0,0,0,0,0,0,0,3,2
Breece Hall,NYJ,0,0,0,0,0,0,0,0,,8,39,0,16,11,6,53,0,18,0,0
Michael Carter,NYJ,0,0,0,0,0,0,0,0,,11,39,0,9,2,1,7,0,7,0,0
Tyler Conklin,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,8,8,84,0,21,0,0
Garrett Wilson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,60,0,23,0,0
Elijah Moore,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,49,0,18,0,0
Corey Davis,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,27,0,22,0,0
C.J. Uzomah,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Braxton Berrios,NYJ,0,0,0,0,0,0,0,0,,1,-2,0,-2,1,0,0,0,0,0,0
