Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Malik Willis,TEN,6,10,55,0,1,3,15,16,35.4,5,12,0,6,0,0,0,0,0,0,0
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,32,219,2,41,1,1,9,0,9,0,0
Dontrell Hilliard,TEN,0,0,0,0,0,0,0,0,,8,83,0,30,1,1,12,0,12,0,0
Robert Woods,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,16,1,1
Austin Hooper,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Chigoziem Okonkwo,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Cody Hollister,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Davis Mills,HOU,17,29,152,1,1,3,34,44,69.9,3,8,0,6,0,0,0,0,0,0,0
Rex Burkhead,HOU,0,1,0,0,0,0,0,0,39.6,0,0,0,0,1,1,2,0,2,0,0
Dameon Pierce,HOU,0,0,0,0,0,0,0,0,,15,35,0,16,5,3,16,1,7,0,0
Brandin Cooks,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,73,0,44,0,0
O.J. Howard,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,24,0,24,0,0
Brevin Jordan,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,19,0,16,0,0
Troy Hairston,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,0,5,0,0
Phillip Dorsett,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,6,0,6,0,0
Jordan Akins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Dare Ogunbowale,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
