Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matt Ryan,ATL,21,30,281,0,1,2,11,28,85.6,6,27,1,13,0,0,0,0,0,0,0
Brian Hill,ATL,0,0,0,0,0,0,0,0,,11,55,0,14,3,2,9,0,9,0,0
Todd Gurley,ATL,0,0,0,0,0,0,0,0,,18,46,1,11,0,0,0,0,0,0,0
Qadree Ollison,ATL,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Julio Jones,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,137,0,28,0,0
Hayden Hurst,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,54,0,18,0,0
Calvin Ridley,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,42,0,19,0,0
Russell Gage,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,25,0,19,0,0
Christian Blake,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,7,0,0
Keith Smith,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Teddy Bridgewater,CAR,15,23,176,1,1,3,22,42,84.7,5,30,0,14,0,0,0,0,0,0,0
P.J. Walker,CAR,1,4,3,0,0,0,0,3,39.6,0,0,0,0,0,0,0,0,0,0,0
Mike Davis,CAR,0,0,0,0,0,0,0,0,,13,66,0,17,2,1,11,0,11,0,0
Jeremy Chinn,CAR,0,0,0,0,0,0,0,0,,1,28,0,28,0,0,0,0,0,0,0
Curtis Samuel,CAR,0,0,0,0,0,0,0,0,,3,23,1,12,5,4,31,1,29,0,0
D.J. Moore,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,55,0,42,0,0
Robbie Chosen,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,48,0,27,0,0
Ian Thomas,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,28,0,21,0,0
Chris Manhertz,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Colin Thompson,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
