Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Russell Wilson,SEA,20,32,178,2,0,2,10,27,98.2,8,71,0,14,0,0,0,0,,0,0
Marshawn Lynch,SEA,0,0,0,0,0,0,0,,,24,124,0,17,3,1,1,0,1,0,0
Robert Turbin,SEA,0,0,0,0,0,0,0,,,4,11,0,4,0,0,0,0,,0,0
Jermaine Kearse,SEA,0,0,0,0,0,0,0,,,0,0,0,,9,5,54,0,24,0,0
Luke Willson,SEA,0,0,0,0,0,0,0,,,0,0,0,,3,3,51,0,27,0,0
Doug Baldwin,SEA,0,0,0,0,0,0,0,,,0,0,0,,9,6,45,1,23,0,0
Paul Richardson,SEA,0,0,0,0,0,0,0,,,0,0,0,,4,3,24,0,10,1,0
Cooper Helfet,SEA,0,0,0,0,0,0,0,,,0,0,0,,3,1,2,0,2,0,0
Tony Moeaki,SEA,0,0,0,0,0,0,0,,,0,0,0,,1,1,1,1,1,0,0
Christine Michael,SEA,0,0,0,0,0,0,0,,,1,-2,0,-2,0,0,0,0,,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Alex Smith,KAN,11,16,108,0,0,0,0,23,87.5,2,-1,0,0,0,0,0,0,,1,0
Jamaal Charles,KAN,0,0,0,0,0,0,0,,,20,159,2,47,2,2,19,0,13,1,1
De'Anthony Thomas,KAN,0,0,0,0,0,0,0,,,3,22,0,8,1,1,10,0,10,0,0
Knile Davis,KAN,0,0,0,0,0,0,0,,,5,10,1,4,1,1,8,0,8,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,,,0,0,0,,5,3,37,0,23,1,1
Dwayne Bowe,KAN,0,0,0,0,0,0,0,,,0,0,0,,4,2,18,0,9,0,0
Anthony Sherman,KAN,0,0,0,0,0,0,0,,,0,0,0,,1,1,13,0,13,0,0
Phillip Supernaw,KAN,0,0,0,0,0,0,0,,,0,0,0,,1,1,3,0,3,0,0
