Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joshua Dobbs,ARI,19,33,146,0,0,4,28,21,68.5,7,43,1,25,0,0,0,0,0,1,0
Clayton Tune,ARI,1,1,4,0,0,0,0,4,83.3,0,0,0,0,0,0,0,0,0,0,0
Emari Demercado,ARI,0,0,0,0,0,0,0,0,,13,58,0,18,5,4,17,0,8,0,0
Rondale Moore,ARI,0,0,0,0,0,0,0,0,,4,24,0,15,4,2,2,0,4,0,0
Damien Williams,ARI,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Marquise Brown,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,49,0,21,0,0
Trey McBride,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,29,0,19,0,0
Michael Wilson,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,26,0,11,0,0
Zach Ertz,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,19,0,9,0,0
Geoff Swaim,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Elijah Higgins,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Geno Smith,SEA,18,24,219,2,1,2,16,31,113.0,6,10,0,5,0,0,0,0,0,1,1
Kenneth Walker III,SEA,0,0,0,0,0,0,0,0,,26,105,0,25,3,2,6,0,6,0,0
Jaxon Smith-Njigba,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,63,1,28,0,0
Jake Bobo,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,61,1,31,0,0
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,38,0,15,0,0
Colby Parkinson,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,27,0,0
Noah Fant,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,25,0,25,0,0
DeeJay Dallas,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,1,1
