Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Philip Rivers,LAC,21,36,293,0,1,1,6,47,73.0,1,12,0,12,0,0,0,0,0,0,0
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,17,66,1,12,6,6,67,0,35,1,1
Justin Jackson,LAC,0,0,0,0,0,0,0,0,,7,59,0,40,1,1,5,0,5,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,15,8,98,0,23,0,0
Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,83,0,47,0,0
Dontrelle Inman,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,28,0,28,0,0
Virgil Green,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
Derek Watt,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Travis Benjamin,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,DET,22,30,245,2,2,0,0,36,91.7,4,13,0,8,0,0,0,0,0,0,0
Kerryon Johnson,DET,0,0,0,0,0,0,0,0,,12,41,0,9,3,2,47,1,36,0,0
Ty Johnson,DET,0,0,0,0,0,0,0,0,,5,30,0,17,2,2,6,0,6,0,0
C.J. Anderson,DET,0,0,0,0,0,0,0,0,,5,8,0,7,0,0,0,0,0,0,0
J.D. McKissic,DET,0,0,0,0,0,0,0,0,,2,2,0,4,0,0,0,0,0,0,0
Kenny Golladay,DET,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,117,1,31,0,0
Marvin Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,43,0,24,0,0
Jesse James,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,18,0,7,0,0
Logan Thomas,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
T.J. Hockenson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,7,0,7,0,0
Danny Amendola,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
