Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Cody Barton,SEA,1,10,0,10,1,0.0,7,4,3,0,0,0,0,0,0
Riq Woolen,SEA,1,0,0,0,3,0.0,7,6,1,0,0,0,0,0,0
Uchenna Nwosu,SEA,0,0,0,0,0,2.0,4,4,0,1,3,0,0,0,1
Jordyn Brooks,SEA,0,0,0,0,0,1.0,9,6,3,1,1,0,0,0,0
Darrell Taylor,SEA,0,0,0,0,0,1.0,2,2,0,1,2,0,0,0,0
Coby Bryant,SEA,0,0,0,0,1,0.0,5,4,1,0,1,0,0,0,0
Ryan Neal,SEA,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0
Michael Jackson,SEA,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Tre Brown,SEA,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Poona Ford,SEA,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Bruce Irvin,SEA,0,0,0,0,0,0.0,2,2,0,0,2,0,0,0,0
Al Woods,SEA,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Joey Blount,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Quandre Diggs,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Shelby Harris,SEA,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Josh Jones,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Tony Jones,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Damien Lewis,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Bryan Mone,SEA,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
Tanner Muse,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Teez Tabor,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Dareke Young,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Quinton Jefferson,SEA,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Bobby Wagner,LAR,1,0,0,0,1,2.0,7,4,3,3,2,0,0,0,0
Michael Hoecht,LAR,0,0,0,0,0,2.0,3,3,0,1,3,0,0,0,1
Derion Kendrick,LAR,0,0,0,0,0,0.0,10,8,2,0,0,0,0,0,0
Ernest Jones,LAR,0,0,0,0,0,0.0,8,7,1,0,0,0,0,0,0
Nick Scott,LAR,0,0,0,0,1,0.0,8,5,3,0,0,0,0,0,0
Jalen Ramsey,LAR,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Jonah Williams,LAR,0,0,0,0,0,0.0,6,1,5,0,0,0,0,0,0
Taylor Rapp,LAR,0,0,0,0,2,0.0,4,3,1,0,1,1,0,0,0
Marquise Copeland,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Greg Gaines,LAR,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0
David Long,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Bobby Brown,LAR,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Cobie Durant,LAR,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Leonard Floyd,LAR,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Ben Skowronek,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kyren Williams,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Russ Yeast,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tyler Higbee,LAR,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
