Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Fitzpatrick,BUF,18,32,153,0,0,2,12,23,68.9,3,5,0,4,0,0,0,0,,0,0
Brad Smith,BUF,0,1,0,0,1,0,0,0,0.0,2,19,0,16,0,0,0,0,,0,0
C.J. Spiller,BUF,0,0,0,0,0,0,0,,,12,88,1,33,5,4,22,0,11,0,0
Fred Jackson,BUF,0,0,0,0,0,0,0,,,16,53,1,7,6,5,30,0,12,1,1
Stevie Johnson,BUF,0,0,0,0,0,0,0,,,0,0,0,,11,6,82,0,23,0,0
Donald Jones,BUF,0,0,0,0,0,0,0,,,0,0,0,,4,1,9,0,9,0,0
T.J. Graham,BUF,0,0,0,0,0,0,0,,,0,0,0,,3,1,6,0,6,0,0
Scott Chandler,BUF,0,0,0,0,0,0,0,,,0,0,0,,3,1,4,0,4,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kevin Kolb,ARI,14,26,128,1,1,5,23,24,64.3,5,66,0,22,0,0,0,0,,0,0
John Skelton,ARI,2,10,45,0,1,0,0,28,6.2,0,0,0,,0,0,0,0,,0,0
William Powell,ARI,0,0,0,0,0,0,0,,,13,70,0,17,1,1,8,0,8,0,0
Rashad Johnson,ARI,0,0,0,0,0,0,0,,,1,24,0,24,0,0,0,0,,0,0
LaRod Stephens-Howling,ARI,0,0,0,0,0,0,0,,,11,22,0,11,2,0,0,0,,0,0
Larry Fitzgerald,ARI,0,0,0,0,0,0,0,,,0,0,0,,12,6,93,1,28,0,0
Michael Floyd,ARI,0,0,0,0,0,0,0,,,0,0,0,,3,1,24,0,24,0,0
Andre Roberts,ARI,0,0,0,0,0,0,0,,,0,0,0,,6,2,18,0,16,0,0
Rob Housler,ARI,0,0,0,0,0,0,0,,,0,0,0,,3,2,12,0,6,0,0
Jeff King,ARI,0,0,0,0,0,0,0,,,0,0,0,,4,2,10,0,9,0,0
Reagan Maui'a,ARI,0,0,0,0,0,0,0,,,0,0,0,,,1,7,0,7,0,0
Early Doucet,ARI,0,0,0,0,0,0,0,,,0,0,0,,3,1,1,0,1,0,0
