Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Aaron Rodgers,GNB,22,37,184,2,0,1,0,33,90.4,2,3,0,4,0,0,0,0,0,0,0
AJ Dillon,GNB,0,0,0,0,0,0,0,0,,16,78,0,12,0,0,0,0,0,0,0
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,15,59,1,16,11,7,51,0,19,0,0
Amari Rodgers,GNB,0,0,0,0,0,0,0,0,,1,11,0,11,3,1,7,0,7,1,0
Robert Tonyan,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,49,0,33,0,0
Juwann Winfree,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,30,0,12,1,0
Josiah Deguara,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,0,12,0,0
Randall Cobb,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,15,2,7,0,0
Equanimeous St. Brown,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,7,0,0
Marcedes Lewis,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kyler Murray,ARI,22,33,274,0,2,2,14,55,67.0,6,21,0,9,0,0,0,0,0,1,0
Chase Edmonds,ARI,0,0,0,0,0,0,0,0,,7,30,1,11,4,3,39,0,22,0,0
James Conner,ARI,0,0,0,0,0,0,0,0,,5,22,2,9,0,0,0,0,0,0,0
Rondale Moore,ARI,0,0,0,0,0,0,0,0,,2,1,0,2,4,3,24,0,9,1,1
DeAndre Hopkins,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,66,0,55,0,0
A.J. Green,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,50,0,23,0,0
Christian Kirk,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,46,0,29,0,0
Zach Ertz,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,42,0,20,0,0
Antoine Wesley,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,7,0,7,0,0
