Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Trevor Siemian,DEN,24,40,259,0,2,3,4,29,58.2,3,12,0,,0,0,0,0,,1,0
Jamaal Charles,DEN,0,0,0,0,0,0,0,0,,9,56,1,19,1,1,1,0,1,0,0
C.J. Anderson,DEN,0,0,0,0,0,0,0,0,,8,36,0,32,2,2,7,0,5,0,0
Isaiah McKenzie,DEN,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
Andy Janovich,DEN,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
De'Angelo Henderson,DEN,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Demaryius Thomas,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,98,0,29,0,0
Emmanuel Sanders,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,15,7,75,0,29,0,0
Bennie Fowler,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,55,0,20,0,0
Virgil Green,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,18,0,14,0,0
A.J. Derby,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Cody Latimer,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tyrod Taylor,BUF,20,26,213,2,0,4,16,31,126.0,8,13,0,,0,0,0,0,,0,0
Mike Tolbert,BUF,0,0,0,0,0,0,0,0,,11,41,0,10,1,0,0,0,0,0,0
LeSean McCoy,BUF,0,0,0,0,0,0,0,0,,14,21,0,7,7,7,48,0,15,0,0
Jordan Matthews,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,61,0,28,0,0
Charles Clay,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,39,1,10,0,0
Nick O'Leary,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,31,0,31,0,0
Kaelin Clay,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,28,0,28,0,0
Andre Holmes,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,1,4,0,0
Zay Jones,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
