Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Drew Brees,NOR,27,37,291,1,0,1,7,52,104.7,0,0,0,,0,0,0,0,,0,0
Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,7,18,0,5,6,4,20,0,15,0,0
Adrian Peterson,NOR,0,0,0,0,0,0,0,0,,6,18,0,9,1,0,0,0,0,0,0
Mark Ingram,NOR,0,0,0,0,0,0,0,0,,6,17,0,7,5,5,54,0,18,0,0
Ted Ginn Jr.,NOR,0,0,0,0,0,0,0,0,,1,5,0,5,5,4,53,0,27,0,0
John Kuhn,NOR,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Coby Fleener,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,54,1,24,0,0
Tommylee Lewis,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,52,0,52,0,0
Michael Thomas,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,45,0,14,0,0
Brandon Coleman,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,9,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Sam Bradford,MIN,27,32,346,3,0,1,5,44,143.0,2,-3,0,,0,0,0,0,,0,0
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,22,127,0,33,5,3,10,0,4,0,0
Latavius Murray,MIN,0,0,0,0,0,0,0,0,,2,6,0,3,0,0,0,0,0,1,0
Jerick McKinnon,MIN,0,0,0,0,0,0,0,0,,3,5,0,10,3,3,32,0,25,0,0
Adam Thielen,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,9,157,0,44,0,0
Kyle Rudolph,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,26,1,15,0,0
Jarius Wright,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,21,0,21,0,0
Laquon Treadwell,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Stefon Diggs,MIN,0,0,0,0,0,0,0,0,,1,-6,0,-6,8,7,93,2,30,0,0
