Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matt Ryan,ATL,19,30,228,2,0,2,13,34,108.7,6,26,0,13,0,0,0,0,,0,
Michael Turner,ATL,0,0,0,0,0,,,,,30,114,1,32,3,2,11,0,8,0,
Jason Snelling,ATL,0,0,0,0,0,,,,,14,62,0,17,2,1,8,0,8,0,
Tony Gonzalez,ATL,0,0,0,0,0,,,,,0,0,0,,9,8,110,1,34,0,
Roddy White,ATL,0,0,0,0,0,,,,,0,0,0,,6,5,69,1,24,0,
Ovie Mughelli,ATL,0,0,0,0,0,,,,,0,0,0,,3,2,29,0,18,0,
Harry Douglas,ATL,0,0,0,0,0,,,,,0,0,0,,5,1,1,0,1,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Drew Brees,NOR,30,38,365,3,2,2,10,80,111.1,0,0,0,,0,0,0,0,,0,
Pierre Thomas,NOR,0,0,0,0,0,,,,,9,30,0,12,6,6,61,0,23,0,
Chris Ivory,NOR,0,0,0,0,0,,,,,7,13,0,9,0,0,0,0,,1,1
Lance Moore,NOR,0,0,0,0,0,,,,,0,0,0,,7,6,149,2,80,0,
Jeremy Shockey,NOR,0,0,0,0,0,,,,,0,0,0,,8,8,78,1,31,0,
Marques Colston,NOR,0,0,0,0,0,,,,,0,0,0,,5,4,25,0,9,0,
David Thomas,NOR,0,0,0,0,0,,,,,0,0,0,,3,3,24,0,14,0,
Devery Henderson,NOR,0,0,0,0,0,,,,,0,0,0,,5,2,23,0,14,0,
Robert Meachem,NOR,0,0,0,0,0,,,,,0,0,0,,2,1,5,0,5,0,
Jimmy Graham,NOR,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
