Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Russell Wilson,SEA,13,25,200,1,1,6,26,38,75.4,3,15,0,16,0,0,0,0,0,1,1
Rashaad Penny,SEA,0,0,0,0,0,0,0,0,,14,129,1,58,1,0,0,0,0,0,0
Chris Carson,SEA,0,0,0,0,0,0,0,0,,8,26,0,6,4,4,31,0,13,1,0
David Moore,SEA,0,0,0,0,0,0,0,0,,1,4,0,4,2,1,31,0,31,0,0
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,38,0,38,0,0
D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,35,0,17,0,0
Malik Turner,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,33,1,33,0,0
Jacob Hollister,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,21,0,0
Josh Gordon,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Carson Wentz,PHI,33,45,256,1,2,3,18,30,75.8,5,27,0,11,0,0,0,0,0,3,2
Miles Sanders,PHI,0,0,0,0,0,0,0,0,,12,63,0,14,5,3,23,0,9,0,0
Jay Ajayi,PHI,0,0,0,0,0,0,0,0,,6,16,0,11,0,0,0,0,0,0,0
Zach Ertz,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,14,12,91,1,12,0,0
JJ Arcega-Whiteside,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,43,0,30,0,0
Greg Ward,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,40,0,9,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,32,0,14,1,1
Jordan Matthews,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,27,0,10,0,0
