Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Taylor Heinicke,WAS,7,22,121,1,2,4,16,48,28.8,1,-1,0,-1,0,0,0,0,0,0,0
Kyle Allen,WAS,8,10,67,1,0,1,0,19,127.9,0,0,0,0,0,0,0,0,0,0,0
Jaret Patterson,WAS,0,0,0,0,0,0,0,0,,9,33,0,10,0,0,0,0,0,0,0
Antonio Gibson,WAS,0,0,0,0,0,0,0,0,,6,29,0,15,4,2,29,1,21,0,0
DeAndre Carter,WAS,0,0,0,0,0,0,0,0,,1,15,0,15,2,1,5,0,5,0,0
Jonathan Williams,WAS,0,0,0,0,0,0,0,0,,3,9,0,4,2,1,2,0,2,0,0
Dyami Brown,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,53,0,48,0,0
John Bates,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,45,1,32,1,0
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,40,0,19,0,0
Dax Milne,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
Adam Humphries,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,4,0,6,0,0
Cam Sims,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Ricky Seals-Jones,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-4,0,-4,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Dak Prescott,DAL,28,39,330,4,0,3,11,40,131.4,4,21,0,13,0,0,0,0,0,1,0
Cooper Rush,DAL,2,3,70,1,0,0,0,61,149.3,2,0,0,2,0,0,0,0,0,0,0
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,9,37,1,11,1,1,5,1,5,0,0
Tony Pollard,DAL,0,0,0,0,0,0,0,0,,8,34,0,9,3,2,16,0,9,0,0
Corey Clement,DAL,0,0,0,0,0,0,0,0,,4,18,0,8,0,0,0,0,0,0,0
Amari Cooper,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,85,1,24,0,0
Dalton Schultz,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,82,1,16,0,0
Malik Turner,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,82,1,61,0,0
Michael Gallup,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,53,0,40,0,0
Cedrick Wilson Jr.,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,10,0,4,1,0
Terence Steele,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,1,-2,0,-2,5,4,66,0,25,0,0
