Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Justin Evans,TAM,1,15,0,15,1,0.0,6,4,2,0,0,0,0,0,0
Will Clarke,TAM,0,0,0,0,1,1.5,3,2,1,1,3,0,0,0,0
Chris Baker,TAM,0,0,0,0,0,0.5,2,1,1,0,1,0,0,0,0
Lavonte David,TAM,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Kwon Alexander,TAM,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
Brent Grimes,TAM,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Ryan Smith,TAM,0,0,0,0,1,0.0,5,2,3,0,0,0,0,0,0
Keith Tandy,TAM,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Kendell Beckwith,TAM,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Chris Conte,TAM,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Robert McClain,TAM,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Gerald McCoy,TAM,0,0,0,0,0,0.0,3,2,1,2,1,0,0,0,0
Devante Bond,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Chris Godwin,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Freddie Martino,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Patrick Murray,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jacquizz Rodgers,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Ryan Russell,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Sealver Siliga,TAM,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
William Gholston,TAM,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Jameis Winston,TAM,0,0,0,0,0,0.0,0,0,0,0,0,2,-7,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Clay Matthews,GNB,0,0,0,0,0,3.0,7,5,2,1,4,0,0,0,0
Kenny Clark,GNB,0,0,0,0,0,1.5,6,3,3,0,2,0,0,0,1
Jake Ryan,GNB,0,0,0,0,0,1.0,10,5,5,1,1,0,0,0,0
Dean Lowry,GNB,0,0,0,0,0,1.0,4,3,1,2,1,1,62,1,0
Mike Daniels,GNB,0,0,0,0,0,0.5,5,1,4,0,2,0,0,0,0
Blake Martinez,GNB,0,0,0,0,1,0.0,11,6,5,0,1,0,0,0,0
Ha Ha Clinton-Dix,GNB,0,0,0,0,0,0.0,9,7,2,0,0,0,0,0,0
Morgan Burnett,GNB,0,0,0,0,1,0.0,6,3,3,0,0,0,0,0,0
Nick Perry,GNB,0,0,0,0,0,0.0,6,3,3,0,1,0,0,0,0
Josh Hawkins,GNB,0,0,0,0,2,0.0,3,3,0,0,0,0,0,0,0
Davon House,GNB,0,0,0,0,2,0.0,3,3,0,0,0,0,0,0,0
Josh Jones,GNB,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Quinton Dial,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Kyler Fackrell,GNB,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
Damarious Randall,GNB,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Jermaine Whitehead,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Jeff Janis,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Joe Thomas,GNB,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Ahmad Brooks,GNB,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
