Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Yannick Ngakoue,JAX,0,0,0,0,1,1.0,2,2,0,0,0,1,-2,0,1
Myles Jack,JAX,0,0,0,0,0,0.0,7,6,1,1,0,0,0,0,0
Quincy Williams,JAX,0,0,0,0,0,0.0,6,4,2,1,0,0,0,0,0
Jarrod Wilson,JAX,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Andrew Wingard,JAX,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
A.J. Bouye,JAX,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Taven Bryan,JAX,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
Leon Jacobs,JAX,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Tre Herndon,JAX,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Dontavius Russell,JAX,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Najee Goode,JAX,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Abry Jones,JAX,0,0,0,0,0,0.0,2,2,0,0,0,1,0,0,0
Donald Payne,JAX,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Josh Allen,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Calais Campbell,JAX,0,0,0,0,0,0.0,1,1,0,0,2,0,0,0,1
Cody Davis,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ronnie Harrison,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Devine Ozigbo,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Michael Walker,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Harold Landry,TEN,0,0,0,0,0,1.0,5,4,1,1,2,0,0,0,0
Kenny Vaccaro,TEN,0,0,0,0,0,1.0,5,5,0,1,3,0,0,0,0
Rashaan Evans,TEN,0,0,0,0,0,1.0,3,1,2,1,2,0,0,0,0
Jayon Brown,TEN,0,0,0,0,0,0.0,15,11,4,0,0,0,0,0,0
Adoree' Jackson,TEN,0,0,0,0,1,0.0,12,10,2,1,0,0,0,0,0
Kevin Byard,TEN,0,0,0,0,0,0.0,9,4,5,0,0,0,0,0,0
LeShaun Sims,TEN,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Jeffery Simmons,TEN,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Kamalei Correa,TEN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Logan Ryan,TEN,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Daren Bates,TEN,0,0,0,0,0,0.0,3,1,2,0,0,1,0,0,1
Jurrell Casey,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Wesley Woodyard,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Dane Cruikshank,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Amani Hooker,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Joshua Kalu,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Khari Blasingame,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Reggie Gilbert,TEN,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Austin Johnson,TEN,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
DaQuan Jones,TEN,0,0,0,0,1,0.0,1,1,0,0,1,0,0,0,0
Isaiah Mack,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cameron Wake,TEN,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
