Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Levi Wallace,PIT,2,0,0,0,4,0.0,6,4,2,0,0,0,0,0,0
Patrick Peterson,PIT,1,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
T.J. Watt,PIT,0,0,0,0,0,2.0,2,2,0,2,3,0,0,0,0
Markus Golden,PIT,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Keeanu Benton,PIT,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Minkah Fitzpatrick,PIT,0,0,0,0,0,0.0,11,7,4,0,0,0,0,0,0
Kwon Alexander,PIT,0,0,0,0,0,0.0,7,5,2,0,1,0,0,0,0
Cole Holcomb,PIT,0,0,0,0,1,0.0,5,5,0,1,0,0,0,0,0
Keanu Neal,PIT,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Mark Robinson,PIT,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Elandon Roberts,PIT,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Montravius Adams,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Damontae Kazee,PIT,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Miles Killebrew,PIT,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
DeMarvin Leal,PIT,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Joey Porter Jr.,PIT,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Larry Ogunjobi,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Alex Highsmith,PIT,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Maxx Crosby,LVR,0,0,0,0,0,1.0,3,1,2,1,2,0,0,0,0
Divine Deablo,LVR,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0
Robert Spillane,LVR,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Nate Hobbs,LVR,0,0,0,0,2,0.0,6,3,3,0,0,0,0,0,0
John Jenkins,LVR,0,0,0,0,0,0.0,6,2,4,1,1,0,0,0,0
Marcus Peters,LVR,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0
Bilal Nichols,LVR,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0
Marcus Epps,LVR,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Tre'von Moehrig,LVR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Jakorian Bennett,LVR,0,0,0,0,1,0.0,2,0,2,0,0,0,0,0,0
Malcolm Koonce,LVR,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
Jerry Tillery,LVR,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
Byron Young,LVR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Jacob Bobenmoyer,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Curtis Bolton,LVR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Adam Butler,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jakob Johnson,LVR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Isaac Rochell,LVR,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
DeAndre Carter,LVR,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
