Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Zach Wilson,NYJ,19,26,199,0,1,4,26,37,78.8,3,26,0,9,0,0,0,0,0,2,0
Breece Hall,NYJ,0,0,0,0,0,0,0,0,,22,177,1,72,3,3,17,0,12,0,0
Dalvin Cook,NYJ,0,0,0,0,0,0,0,0,,6,23,0,9,0,0,0,0,0,0,0
Michael Carter,NYJ,0,0,0,0,0,0,0,0,,1,8,0,8,3,3,14,0,9,0,0
Tyler Conklin,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,67,0,37,0,0
Garrett Wilson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,54,0,32,0,0
Allen Lazard,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,33,0,12,0,0
C.J. Uzomah,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,7,0,0
Jeremy Ruckert,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Randall Cobb,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Russell Wilson,DEN,20,31,196,2,0,4,27,29,103.7,7,49,0,21,0,0,0,0,0,2,1
Jaleel McLaughlin,DEN,0,0,0,0,0,0,0,0,,9,68,0,38,4,3,21,1,22,0,0
Samaje Perine,DEN,0,0,0,0,0,0,0,0,,6,22,0,8,5,4,73,0,29,1,1
Jerry Jeudy,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,50,0,23,0,0
Adam Trautman,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,26,1,12,0,0
Courtland Sutton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,13,0,13,0,0
Brandon Johnson,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Marvin Mims,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,1,1
Nate Adkins,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
