Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matt Ryan,ATL,25,39,210,2,0,2,9,28,95.0,5,27,0,9,0,0,0,0,0,0,0
Devonta Freeman,ATL,0,0,0,0,0,0,0,0,,12,39,0,11,3,2,16,0,13,0,0
Brian Hill,ATL,0,0,0,0,0,0,0,0,,1,16,0,16,0,0,0,0,0,0,0
Russell Gage,ATL,0,0,0,0,0,0,0,0,,1,6,0,6,6,5,27,0,11,0,0
Qadree Ollison,ATL,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,0
Julio Jones,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,20,13,134,2,28,0,0
Austin Hooper,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,20,0,9,0,0
Luke Stocker,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Kenjon Barner,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,1,1
Christian Blake,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jimmy Garoppolo,SFO,22,34,200,1,0,1,7,29,90.3,2,6,0,3,0,0,0,0,0,0,0
Raheem Mostert,SFO,0,0,0,0,0,0,0,0,,14,54,1,8,2,1,5,0,5,1,1
Tevin Coleman,SFO,0,0,0,0,0,0,0,0,,4,40,0,37,1,0,0,0,0,0,0
Matt Breida,SFO,0,0,0,0,0,0,0,0,,4,11,0,9,2,2,6,0,5,2,1
Deebo Samuel,SFO,0,0,0,0,0,0,0,0,,1,8,0,8,3,1,29,0,29,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,2,1,0,2,2,2,6,1,4,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,17,13,134,0,21,1,0
Kendrick Bourne,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
Emmanuel Sanders,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,9,0,5,0,0
