Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ben Roethlisberger,PIT,27,47,314,2,3,2,17,78,65.4,2,1,1,,0,0,0,0,,0,0
James Conner,PIT,0,0,0,0,0,0,0,0,,9,25,0,9,9,6,24,0,6,0,0
Antonio Brown,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,13,5,117,1,78,0,0
JuJu Smith-Schuster,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,104,0,35,0,0
Ryan Switzer,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,28,0,12,0,0
Vance McDonald,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,27,1,11,0,0
James Washington,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,11,0,11,0,0
Xavier Grimble,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Blake Bortles,JAX,10,18,104,0,0,6,40,26,72.5,2,17,0,,0,0,0,0,,2,1
Leonard Fournette,JAX,0,0,0,0,0,0,0,0,,28,95,1,20,2,2,46,0,26,0,0
Carlos Hyde,JAX,0,0,0,0,0,0,0,0,,8,44,0,11,0,0,0,0,0,0,0
T.J. Yeldon,JAX,0,0,0,0,0,0,0,0,,5,23,0,6,3,2,9,0,7,0,0
Dede Westbrook,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,19,0,14,0,0
DJ Chark,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,15,0,10,0,0
Donte Moncrief,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
James O'Shaughnessy,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
