Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Cam Newton,CAR,26,33,355,3,0,3,21,64,141.8,7,0,0,,0,0,0,0,,1,0
Jonathan Stewart,CAR,0,0,0,0,0,0,0,0,,18,21,0,9,3,3,23,0,21,0,0
Christian McCaffrey,CAR,0,0,0,0,0,0,0,0,,3,7,0,5,7,5,31,1,10,0,0
Ed Dickson,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,175,0,64,0,0
Kelvin Benjamin,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,58,1,31,0,0
Devin Funchess,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,53,1,15,0,0
Russell Shepard,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,10,0,0
Curtis Samuel,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,DET,23,35,229,2,0,6,37,25,103.2,0,0,0,,0,0,0,0,,2,1
Ameer Abdullah,DET,0,0,0,0,0,0,0,0,,10,31,0,16,1,1,3,0,3,0,0
Zach Zenner,DET,0,0,0,0,0,0,0,0,,3,11,1,14,0,0,0,0,0,0,0
Theo Riddick,DET,0,0,0,0,0,0,0,0,,2,8,0,8,5,4,45,0,21,0,0
Marvin Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,54,0,12,0,0
Golden Tate,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,48,0,22,0,0
Jared Abbrederis,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,37,0,25,0,0
Darren Fells,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,24,2,20,0,0
T.J. Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,12,0,8,0,0
Eric Ebron,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,6,0,6,0,0
