Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
DeShone Kizer,CLE,16,30,314,2,1,6,42,56,98.5,6,61,0,,0,0,0,0,,0,0
Isaiah Crowell,CLE,0,0,0,0,0,0,0,0,,15,21,0,7,0,0,0,0,0,0,0
Duke Johnson,CLE,0,0,0,0,0,0,0,0,,6,20,1,10,6,6,75,0,30,1,1
Josh Gordon,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,115,0,54,0,0
Rashard Higgins,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,68,2,56,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,38,0,34,0,0
Corey Coleman,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,18,0,18,0,0
Marquez Williams,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Ricardo Louis,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Seth Devalve,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Landry Jones,PIT,23,27,239,1,1,3,15,46,100.5,3,-6,0,,0,0,0,0,,1,1
Stevan Ridley,PIT,0,0,0,0,0,0,0,0,,17,80,1,21,0,0,0,0,0,0,0
Darrius Heyward-Bey,PIT,0,0,0,0,0,0,0,0,,1,29,1,29,0,0,0,0,0,0,0
Fitzgerald Toussaint,PIT,0,0,0,0,0,0,0,0,,5,22,0,7,3,2,9,0,7,0,0
JuJu Smith-Schuster,PIT,0,0,0,0,0,0,0,,,0,0,0,,10,9,143,1,,0,0
Martavis Bryant,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,65,0,17,0,0
Jesse James,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,7,0,0
Vance McDonald,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Xavier Grimble,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Eli Rogers,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
Roosevelt Nix,PIT,0,0,0,0,0,0,0,0,,2,-1,0,0,1,1,5,0,5,0,0
