Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Dak Prescott,DAL,23,27,237,0,1,2,16,48,87.8,0,0,0,0,0,0,0,0,0,1,0
Tony Pollard,DAL,0,0,0,0,0,0,0,0,,13,109,1,28,3,3,31,0,13,0,0
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,16,71,1,19,2,2,26,0,7,0,0
CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,1,13,0,13,9,8,81,0,34,0,0
Cedrick Wilson Jr.,DAL,0,0,0,0,0,0,0,0,,1,5,0,5,2,2,20,0,16,0,0
Blake Jarwin,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,37,0,20,0,0
Amari Cooper,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,24,0,12,0,0
Dalton Schultz,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,11,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Justin Herbert,LAC,31,41,338,1,2,2,25,42,87.2,4,12,0,5,0,0,0,0,0,0,0
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,9,54,0,20,9,9,61,0,20,0,0
Justin Jackson,LAC,0,0,0,0,0,0,0,0,,4,21,0,7,1,1,8,0,8,0,0
Jalen Guyton,LAC,0,0,0,0,0,0,0,0,,1,9,0,9,2,2,13,0,9,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,108,0,42,0,0
Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,91,1,27,0,0
Jared Cook,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,28,0,12,0,0
Josh Palmer,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,0,16,0,0
Stephen Anderson,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,7,0,0
Larry Rountree,LAC,0,0,0,0,0,0,0,0,,1,-1,0,-1,1,1,-1,0,-1,0,0
