Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Drew Brees,NOR,22,30,245,1,0,2,14,43,108.3,1,2,0,,0,0,0,0,,0,0
Alvin Kamara,NOR,0,0,0,0,0,0,0,,,9,44,1,,7,6,84,0,,0,0
Mark Ingram,NOR,0,0,0,0,0,0,0,0,,13,35,0,10,4,4,19,0,13,0,0
Zach Line,NOR,0,0,0,0,0,0,0,0,,1,5,0,5,1,1,3,1,3,0,0
Wil Lutz,NOR,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
Ted Ginn Jr.,NOR,0,0,0,0,0,0,0,0,,1,2,0,2,6,3,33,0,23,0,0
Michael Thomas,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,94,0,43,0,0
Josh Hill,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Garrett Griffin,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Brandon Coleman,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jameis Winston,TAM,28,51,363,1,3,2,18,43,59.5,5,32,1,,0,0,0,0,,0,0
Peyton Barber,TAM,0,0,0,0,0,0,0,0,,17,71,1,8,4,2,18,0,9,1,0
Charles Sims,TAM,0,0,0,0,0,0,0,0,,1,6,0,6,1,0,0,0,0,0,0
Bobo Wilson,TAM,0,0,0,0,0,0,0,0,,2,4,0,8,0,0,0,0,0,0,0
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,111,1,39,0,0
Adam Humphries,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,102,0,43,0,0
Mike Evans,TAM,0,0,0,0,0,0,0,,,0,0,0,,13,5,55,0,,0,0
Cameron Brate,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,37,0,13,0,0
Jacquizz Rodgers,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,0,15,0,0
Alan Cross,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Freddie Martino,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Doug Martin,TAM,0,0,0,0,0,0,0,0,,3,-3,0,1,0,0,0,0,0,0,0
