Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Skylar Thompson,MIA,12,21,104,1,1,1,6,23,66.4,1,4,0,4,0,0,0,0,0,0,0
Teddy Bridgewater,MIA,12,19,161,1,1,1,12,25,85.6,1,6,0,6,0,0,0,0,0,0,0
Jeff Wilson,MIA,0,0,0,0,0,0,0,0,,15,45,0,11,7,3,31,0,13,0,0
Raheem Mostert,MIA,0,0,0,0,0,0,0,0,,9,29,0,6,8,8,62,1,25,0,0
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,1,2,1,2,7,4,55,0,19,0,0
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,52,0,23,0,0
Trent Sherfield,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,30,0,23,0,0
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,18,1,14,0,0
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Salvon Ahmed,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Alec Ingold,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Mac Jones,NWE,20,33,204,2,0,3,31,29,98.5,3,1,0,3,0,0,0,0,0,0,0
Rhamondre Stevenson,NWE,0,0,0,0,0,0,0,0,,8,42,0,18,4,2,9,0,5,0,0
Damien Harris,NWE,0,0,0,0,0,0,0,0,,9,31,0,11,3,3,18,0,9,0,0
Kendrick Bourne,NWE,0,0,0,0,0,0,0,0,,1,2,0,2,2,1,16,0,16,0,0
Tyquan Thornton,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,60,1,29,0,0
Hunter Henry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,52,0,29,0,0
Jakobi Meyers,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,49,1,25,0,0
Nelson Agholor,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
