Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Patrick Mahomes,KAN,23,33,251,2,0,1,7,19,112.1,2,14,1,12,0,0,0,0,0,0,0
Damien Williams,KAN,0,0,0,0,0,0,0,0,,16,65,0,12,3,3,27,1,14,0,0
Spencer Ware,KAN,0,0,0,0,0,0,0,0,,5,14,0,5,3,2,22,0,18,0,0
Darwin Thompson,KAN,0,0,0,0,0,0,0,0,,5,14,0,8,0,0,0,0,0,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,74,1,13,0,0
Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,72,0,19,0,0
Sammy Watkins,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,28,0,17,0,0
Blake Bell,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,0,10,0,0
Demarcus Robinson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0
Matt Moore,KAN,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Mitchell Trubisky,CHI,18,34,157,0,0,3,24,20,65.4,6,20,0,8,0,0,0,0,0,1,0
David Montgomery,CHI,0,0,0,0,0,0,0,0,,13,57,0,16,1,1,2,0,2,0,0
Cordarrelle Patterson,CHI,0,0,0,0,0,0,0,0,,1,16,0,16,1,1,5,0,5,0,0
Tarik Cohen,CHI,0,0,0,0,0,0,0,0,,2,8,0,6,4,3,25,0,12,0,0
Allen Robinson,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,53,0,17,0,0
Javon Wims,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,26,0,12,0,0
Jesper Horsted,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0
J.P. Holtz,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Eric Saubert,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
Anthony Miller,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,2,0,2,0,0
