Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Carson Wentz,PHI,18,28,193,1,1,3,19,42,81.4,7,37,1,11,0,0,0,0,0,1,0
Miles Sanders,PHI,0,0,0,0,0,0,0,0,,13,46,0,9,4,2,30,0,28,0,0
Jalen Hurts,PHI,0,0,0,0,0,0,0,0,,3,18,0,14,0,0,0,0,0,1,0
Corey Clement,PHI,0,0,0,0,0,0,0,0,,2,3,0,2,0,0,0,0,0,0,0
Boston Scott,PHI,0,0,0,0,0,0,0,0,,2,1,0,1,0,0,0,0,0,0,0
Travis Fulgham,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,57,1,42,0,0
Greg Ward,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,38,0,20,0,0
Richard Rodgers,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,35,0,23,0,0
John Hightower,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,13,0,0
Zach Ertz,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,9,0,8,0,0
Adrian Killins,PHI,0,0,0,0,0,0,0,0,,1,-12,0,-12,1,1,2,0,2,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Nick Mullens,SFO,18,26,200,1,2,4,28,38,72.6,0,0,0,0,0,0,0,0,0,1,1
C.J. Beathard,SFO,14,19,138,0,0,1,9,20,93.7,0,0,0,0,0,0,0,0,0,0,0
Jerick McKinnon,SFO,0,0,0,0,0,0,0,0,,14,54,1,15,8,7,43,0,10,0,0
Brandon Aiyuk,SFO,0,0,0,0,0,0,0,0,,1,38,1,38,5,2,18,0,14,0,0
Deebo Samuel,SFO,0,0,0,0,0,0,0,0,,1,10,0,10,3,3,35,0,17,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,1,8,0,8,15,15,183,1,38,0,0
Jeff Wilson,SFO,0,0,0,0,0,0,0,0,,3,6,0,3,1,1,13,0,13,0,0
Kendrick Bourne,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,33,0,20,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0
Trent Taylor,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
