Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tony Romo,DAL,18,28,227,2,2,2,7,31,83.5,2,2,0,3,0,0,0,0,,0,0
Darren McFadden,DAL,0,0,0,0,0,0,0,,,29,129,0,35,3,3,20,0,9,0,0
Robert Turbin,DAL,0,0,0,0,0,0,0,,,7,35,0,17,2,1,3,0,3,0,0
Terrance Williams,DAL,0,0,0,0,0,0,0,,,0,0,0,,4,4,79,1,31,0,0
Dez Bryant,DAL,0,0,0,0,0,0,0,,,0,0,0,,9,4,45,1,16,0,0
Jason Witten,DAL,0,0,0,0,0,0,0,,,0,0,0,,3,2,27,0,15,0,0
Gavin Escobar,DAL,0,0,0,0,0,0,0,,,0,0,0,,3,2,20,0,15,0,0
Devin Street,DAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,19,0,19,0,0
Cole Beasley,DAL,0,0,0,0,0,0,0,,,0,0,0,,3,1,14,0,14,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill,MIA,13,24,188,2,1,3,48,47,90.3,3,13,0,7,0,0,0,0,,0,0
Lamar Miller,MIA,0,0,0,0,0,0,0,,,7,44,0,16,3,2,11,0,11,0,0
Jay Ajayi,MIA,0,0,0,0,0,0,0,,,4,13,0,5,2,2,23,0,20,0,0
Jarvis Landry,MIA,0,0,0,0,0,0,0,,,0,0,0,,7,4,66,0,47,0,0
Kenny Stills,MIA,0,0,0,0,0,0,0,,,0,0,0,,2,2,52,1,29,0,0
Jordan Cameron,MIA,0,0,0,0,0,0,0,,,0,0,0,,5,2,21,1,12,0,0
Rishard Matthews,MIA,0,0,0,0,0,0,0,,,0,0,0,,3,1,15,0,15,0,0
Greg Jennings,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
