Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joe Burrow,CIN,28,32,283,3,0,3,17,33,134.8,6,43,0,20,0,0,0,0,0,0,0
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,16,87,1,20,3,3,23,0,12,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,1,6,0,6,3,3,40,1,22,0,0
Trayveon Williams,CIN,0,0,0,0,0,0,0,0,,2,6,0,7,0,0,0,0,0,0,0
Tee Higgins,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,69,0,33,0,0
Irv Smith Jr.,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,25,0,11,1,1
Trenton Irwin,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,24,0,21,0,0
Andrei Iosivas,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,2,0,0
Drew Sample,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,2,-8,0,0,12,10,100,1,20,1,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Brock Purdy,SFO,22,31,365,1,2,2,18,41,94.2,6,57,0,16,0,0,0,0,0,1,1
Christian McCaffrey,SFO,0,0,0,0,0,0,0,0,,12,54,1,16,7,6,64,1,28,0,0
Elijah Mitchell,SFO,0,0,0,0,0,0,0,0,,3,2,0,5,1,0,0,0,0,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,149,0,34,0,0
Brandon Aiyuk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,109,0,31,0,0
Ray-Ray McCloud,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,43,0,41,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,2,0,0,1,0,0,0,0,0,0,0
