Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Marcus Mariota,TEN,23,33,241,2,0,1,3,25,110.8,2,4,0,,0,0,0,0,,0,0
DeMarco Murray,TEN,0,0,0,0,0,0,0,0,,18,59,0,11,1,1,4,0,4,0,0
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,7,19,0,10,2,2,9,0,8,0,0
Taywan Taylor,TEN,0,0,0,0,0,0,0,0,,1,8,0,8,0,0,0,0,0,0,0
Rishard Matthews,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,95,1,25,0,0
Eric Decker,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,63,0,17,0,0
Delanie Walker,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,37,1,13,1,1
Corey Davis,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,28,0,13,0,0
Jonnu Smith,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Luke Stocker,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jimmy Garoppolo,SFO,31,43,381,1,0,3,18,54,106.8,0,0,0,,1,1,-6,0,,0,0
Carlos Hyde,SFO,0,0,0,0,0,0,0,0,,16,25,0,8,2,2,14,0,8,0,0
Matt Breida,SFO,0,0,0,0,0,0,0,0,,5,16,0,6,0,0,0,0,0,0,0
Marquise Goodwin,SFO,0,0,0,0,0,0,0,0,,1,10,0,10,13,10,114,0,18,0,0
Kendrick Bourne,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,85,0,54,0,0
Garrett Celek,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,63,1,41,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,52,0,24,0,0
Trent Taylor,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,40,0,17,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,16,0,9,0,0
Aldrick Robinson,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Logan Paulsen,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
