Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Adrian Amos,GNB,1,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Preston Smith,GNB,0,0,0,0,1,1.5,5,2,3,1,3,0,0,0,0
Blake Martinez,GNB,0,0,0,0,0,1.0,7,5,2,1,1,0,0,0,0
Kevin King,GNB,0,0,0,0,1,1.0,5,5,0,1,1,0,0,0,0
Za'Darius Smith,GNB,0,0,0,0,0,1.0,3,3,0,1,3,0,0,0,0
Kenny Clark,GNB,0,0,0,0,0,0.5,5,1,4,0,1,0,0,0,0
Raven Greene,GNB,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
Jaire Alexander,GNB,0,0,0,0,2,0.0,5,3,2,0,0,0,0,0,0
Tony Brown,GNB,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Dean Lowry,GNB,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0
Darnell Savage Jr.,GNB,0,0,0,0,1,0.0,3,3,0,0,1,0,0,0,0
Tramon Williams,GNB,0,0,0,0,2,0.0,3,3,0,0,0,0,0,0,0
Kyler Fackrell,GNB,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Montravius Adams,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ty Summers,GNB,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jamaal Williams,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Aaron Jones,GNB,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Leonard Floyd,CHI,0,0,0,0,0,2.0,4,4,0,2,2,0,0,0,0
Roy Robertson-Harris,CHI,0,0,0,0,0,1.0,3,3,0,2,2,0,0,0,0
Akiem Hicks,CHI,0,0,0,0,0,1.0,2,2,0,1,2,0,0,0,0
Aaron Lynch,CHI,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Kyle Fuller,CHI,0,0,0,0,2,0.0,6,6,0,0,0,0,0,0,0
Ha Ha Clinton-Dix,CHI,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Khalil Mack,CHI,0,0,0,0,0,0.0,5,5,0,1,0,0,0,0,1
Roquan Smith,CHI,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
Danny Trevathan,CHI,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Prince Amukamara,CHI,0,0,0,0,2,0.0,3,2,1,0,0,0,0,0,0
Eddie Jackson,CHI,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Eddie Goldman,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Bilal Nichols,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kevin Pierre-Louis,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Buster Skrine,CHI,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
