Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ben Roethlisberger,PIT,28,48,400,4,2,5,29,42,95.8,2,-1,0,0,0,0,0,0,,1,1
Le'Veon Bell,PIT,0,0,0,0,0,0,0,,,16,74,0,25,10,4,65,0,29,0,0
Jonathan Dwyer,PIT,0,0,0,0,0,0,0,,,1,30,0,30,1,1,23,0,23,0,0
Felix Jones,PIT,0,0,0,0,0,0,0,,,1,5,0,5,3,1,4,0,4,0,0
Emmanuel Sanders,PIT,0,0,0,0,0,0,0,,,0,0,0,,11,6,98,0,42,0,0
Jerricho Cotchery,PIT,0,0,0,0,0,0,0,,,0,0,0,,8,7,96,3,20,0,0
Antonio Brown,PIT,0,0,0,0,0,0,0,,,0,0,0,,9,5,71,1,27,0,0
Heath Miller,PIT,0,0,0,0,0,0,0,,,0,0,0,,5,4,43,0,15,0,0
Derek Moye,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tom Brady,NWE,23,33,432,4,0,3,19,81,151.8,1,-1,0,-1,0,0,0,0,,0,0
Stevan Ridley,NWE,0,0,0,0,0,0,0,,,26,115,2,13,4,3,9,0,5,1,1
LeGarrette Blount,NWE,0,0,0,0,0,0,0,,,5,47,1,23,0,0,0,0,,0,0
Brandon Bolden,NWE,0,0,0,0,0,0,0,,,3,36,0,14,0,0,0,0,,0,0
Rob Gronkowski,NWE,0,0,0,0,0,0,0,,,0,0,0,,10,9,143,1,34,0,0
Aaron Dobson,NWE,0,0,0,0,0,0,0,,,0,0,0,,9,5,130,2,81,0,0
Danny Amendola,NWE,0,0,0,0,0,0,0,,,0,0,0,,4,4,122,1,57,0,0
Michael Hoomanawanui,NWE,0,0,0,0,0,0,0,,,0,0,0,,2,1,17,0,17,0,0
Julian Edelman,NWE,0,0,0,0,0,0,0,,,0,0,0,,4,1,11,0,11,0,0
