Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Darius Slay,DET,1,21,0,21,2,0.0,3,3,0,0,0,0,0,0,0
Ezekiel Ansah,DET,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Damon Harrison,DET,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,0
Christian Jones,DET,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Devon Kennard,DET,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Romeo Okwara,DET,0,0,0,0,0,0.0,5,1,4,1,0,0,0,0,0
Quandre Diggs,DET,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Glover Quin,DET,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
A'Shawn Robinson,DET,0,0,0,0,0,0.0,3,3,0,0,0,1,0,0,0
Teez Tabor,DET,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Nevin Lawson,DET,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Tavon Wilson,DET,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Trevor Bates,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jarrad Davis,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Da'Shawn Hand,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Andy Jones,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Miles Killebrew,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
DeShawn Shead,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Danielle Hunter,MIN,0,0,0,0,0,3.5,9,6,3,3,4,1,32,1,0
Tom Johnson,MIN,0,0,0,0,0,2.5,5,4,1,3,4,0,0,0,0
Everson Griffen,MIN,0,0,0,0,0,1.5,4,3,1,1,3,0,0,0,0
Mackensie Alexander,MIN,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
Stephen Weatherly,MIN,0,0,0,0,0,1.0,2,2,0,2,4,0,0,0,0
Sheldon Richardson,MIN,0,0,0,0,0,0.5,3,1,2,0,1,0,0,0,0
Eric Kendricks,MIN,0,0,0,0,0,0.0,9,6,3,0,0,0,0,0,0
Harrison Smith,MIN,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Eric Wilson,MIN,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Anthony Harris,MIN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Holton Hill,MIN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Xavier Rhodes,MIN,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Trae Waynes,MIN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Kentrell Brothers,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Devante Downs,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
C.J. Ham,MIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
George Iloka,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Linval Joseph,MIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jayron Kearse,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
