Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,DET,25,42,274,2,2,6,45,32,74.9,2,9,0,,0,0,0,0,,1,0
Kerryon Johnson,DET,0,0,0,0,0,0,0,0,,14,51,1,10,6,6,38,1,13,1,1
Zach Zenner,DET,0,0,0,0,0,0,0,0,,1,12,0,12,0,0,0,0,0,0,0
LeGarrette Blount,DET,0,0,0,0,0,0,0,0,,6,4,0,5,0,0,0,0,0,0,0
Kenny Golladay,DET,0,0,0,0,0,0,0,0,,0,0,0,0,13,6,78,1,25,1,0
Theo Riddick,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,60,0,18,0,0
Marvin Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,55,0,32,0,0
Levine Toilolo,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0
T.J. Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0
Michael Roberts,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,9,0,9,0,0
Brandon Powell,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,6,0,6,0,0
Nick Bellore,DET,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Mitchell Trubisky,CHI,23,30,355,3,0,1,7,55,148.6,3,18,1,,0,0,0,0,,0,0
Jordan Howard,CHI,0,0,0,0,0,0,0,0,,11,21,0,9,1,1,11,0,11,0,0
Tarik Cohen,CHI,0,0,0,0,0,0,0,0,,7,15,1,5,7,6,29,0,17,0,0
Allen Robinson,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,133,2,36,0,0
Anthony Miller,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,122,1,55,0,0
Trey Burton,CHI,0,0,0,0,0,0,0,,,0,0,0,,4,4,40,0,,0,0
Ben Braunecker,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0
Taquan Mizzell,CHI,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Taylor Gabriel,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
