Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Desmond Ridder,ATL,12,20,152,1,1,0,0,56,79.6,5,-2,0,1,0,0,0,0,0,1,0
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,,14,45,0,8,1,1,6,0,6,0,0
Bijan Robinson,ATL,0,0,0,0,0,0,0,0,,7,11,0,9,3,1,3,0,3,1,1
Jonnu Smith,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,61,0,56,0,0
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,37,0,24,0,0
Drake London,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,24,0,13,0,0
KhaDarel Hodge,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Tucker Fisk,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Van Jefferson,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Cordarrelle Patterson,ATL,0,0,0,0,0,0,0,0,,5,-2,0,3,3,1,2,1,2,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Bryce Young,CAR,18,24,167,0,0,3,13,20,93.6,4,9,0,12,0,0,0,0,0,1,0
Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,22,87,0,22,2,2,16,0,10,0,0
Ihmir Smith-Marsette,CAR,0,0,0,0,0,0,0,0,,4,31,0,15,2,2,1,0,8,1,0
Miles Sanders,CAR,0,0,0,0,0,0,0,0,,6,2,0,3,2,2,11,0,7,0,0
Adam Thielen,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,43,0,16,0,0
Jonathan Mingo,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,32,0,20,0,0
Tommy Tremble,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,32,0,19,0,0
DJ Chark,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,18,0,18,0,0
Stephen Sullivan,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
