Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Colt McCoy,ARI,22,26,249,1,0,2,8,50,119.4,7,23,0,8,0,0,0,0,0,0,0
Christian Kirk,ARI,1,1,33,0,0,0,0,33,118.7,0,0,0,0,6,6,91,0,50,0,0
James Conner,ARI,0,0,0,0,0,0,0,0,,21,96,2,35,5,5,77,1,45,1,0
Eno Benjamin,ARI,0,0,0,0,0,0,0,0,,9,39,1,21,0,0,0,0,0,0,0
Chase Edmonds,ARI,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Chris Streveler,ARI,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Antoine Wesley,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,62,0,33,0,0
Zach Ertz,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,27,0,17,0,0
Rondale Moore,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,25,0,9,0,0
Darrell Daniels,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jimmy Garoppolo,SFO,28,40,326,2,1,5,28,32,100.6,1,3,0,3,0,0,0,0,0,0,0
Elijah Mitchell,SFO,0,0,0,0,0,0,0,0,,8,36,0,14,5,5,43,0,12,0,0
Jamycal Hasty,SFO,0,0,0,0,0,0,0,0,,1,2,0,2,4,3,11,0,5,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,101,1,29,1,1
Deebo Samuel,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,63,0,32,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,10,0,0
Mohamed Sanu,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,5,0,5,0,0
Brandon Aiyuk,SFO,0,0,0,0,0,0,0,0,,1,-2,0,-2,8,6,89,1,22,1,1
