Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Philip Rivers,LAC,24,38,329,2,0,1,3,41,108.3,0,0,0,0,0,0,0,0,0,0,0
Melvin Gordon,LAC,0,0,0,0,0,0,0,0,,16,32,0,6,3,2,-3,1,1,2,1
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,5,7,0,3,8,7,118,1,41,0,0
Hunter Henry,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,97,0,23,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,11,4,61,0,17,0,0
Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,47,0,21,0,0
Virgil Green,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill,TEN,23,29,312,2,1,2,17,38,120.1,5,7,0,6,0,0,0,0,0,2,0
Brett Kern,TEN,1,1,11,0,0,0,0,11,112.5,0,0,0,0,0,0,0,0,0,0,0
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,22,90,1,12,1,1,18,0,18,0,0
Dion Lewis,TEN,0,0,0,0,0,0,0,0,,1,2,0,2,1,0,0,0,0,0,0
Corey Davis,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,80,1,38,0,0
Jonnu Smith,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,64,0,35,0,0
Adam Humphries,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,40,0,14,0,0
Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,27,0,27,0,0
Tajae Sharpe,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,19,1,14,0,0
Kevin Byard,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
A.J. Brown,TEN,0,0,0,0,0,0,0,0,,1,-2,0,-2,8,6,64,0,16,0,0
