Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matt McGloin,OAK,18,32,197,3,0,2,21,36,105.9,3,-3,0,-1,0,0,0,0,,0,0
Rashad Jennings,OAK,0,0,0,0,0,,0,,,22,150,1,80,3,2,-2,0,0,0,0
Rod Streater,OAK,0,0,0,0,0,,0,,,1,8,0,8,8,6,84,1,36,0,0
Marcel Reece,OAK,0,0,0,0,0,,0,,,4,6,0,2,5,2,17,0,20,0,0
Jacoby Ford,OAK,0,0,0,0,0,,0,,,1,4,0,4,1,0,0,0,,1,0
Mychal Rivera,OAK,0,0,0,0,0,,0,,,0,0,0,,6,5,54,1,26,0,0
Andre Holmes,OAK,0,0,0,0,0,,0,,,0,0,0,,3,1,33,0,33,0,0
Denarius Moore,OAK,0,0,0,0,0,,0,,,0,0,0,,6,2,11,1,6,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matt Schaub,HOU,12,25,155,0,0,0,0,23,67.9,0,0,0,,0,0,0,0,,0,0
Case Keenum,HOU,13,24,170,1,1,2,21,42,73.3,0,0,0,,0,0,0,0,,1,0
Ben Tate,HOU,0,0,0,0,0,0,0,,,19,88,0,17,6,4,29,0,9,1,0
Dennis Johnson,HOU,0,0,0,0,0,0,0,,,2,2,0,2,0,0,0,0,,0,0
Garrett Graham,HOU,0,0,0,0,0,0,0,,,0,0,0,,13,7,136,1,42,1,1
Andre Johnson,HOU,0,0,0,0,0,0,0,,,0,0,0,,17,10,116,0,34,0,0
Keshawn Martin,HOU,0,0,0,0,0,0,0,,,0,0,0,,5,2,32,0,23,0,0
DeAndre Hopkins,HOU,0,0,0,0,0,0,0,,,0,0,0,,2,1,7,0,7,0,0
DeVier Posey,HOU,0,0,0,0,0,0,0,,,0,0,0,,4,1,5,0,5,0,0
Greg Jones,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
