Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Brandon Weeden,CLE,21,33,227,0,0,5,39,53,83.8,2,7,0,5,0,0,0,0,,0,0
Jason Campbell,CLE,1,4,6,0,0,0,0,6,39.6,0,0,0,,0,0,0,0,,0,0
Trent Richardson,CLE,0,0,0,0,0,0,0,,,18,58,0,9,5,5,21,0,9,0,0
Jordan Cameron,CLE,0,0,0,0,0,0,0,,,0,0,0,,7,5,95,0,53,0,0
Davone Bess,CLE,0,0,0,0,0,0,0,,,0,0,0,,8,5,38,0,12,0,0
Greg Little,CLE,0,0,0,0,0,0,0,,,0,0,0,,12,4,33,0,18,0,0
Chris Ogbonnaya,CLE,0,0,0,0,0,0,0,,,0,0,0,,3,2,24,0,15,0,0
Travis Benjamin,CLE,0,0,0,0,0,0,0,,,0,0,0,,1,1,22,0,22,0,0
Tori Gurley,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joe Flacco,BAL,22,33,211,1,0,2,14,27,94.4,4,6,0,9,0,0,0,0,,0,0
Bernard Pierce,BAL,0,0,0,0,0,0,0,,,19,57,1,8,1,1,-2,0,-2,0,0
Ray Rice,BAL,0,0,0,0,0,0,0,,,13,36,0,14,3,3,9,0,7,1,1
Torrey Smith,BAL,0,0,0,0,0,0,0,,,0,0,0,,13,7,85,0,27,0,0
Marlon Brown,BAL,0,0,0,0,0,0,0,,,0,0,0,,6,4,45,1,18,0,0
Brandon Stokley,BAL,0,0,0,0,0,0,0,,,0,0,0,,5,4,36,0,16,0,0
Billy Bajema,BAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,18,0,18,0,0
Vonta Leach,BAL,0,0,0,0,0,0,0,,,0,0,0,,2,1,12,0,12,0,0
Dallas Clark,BAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,8,0,8,0,0
Ed Dickson,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
