Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jalen Hurts,PHI,14,31,129,0,3,1,5,21,17.5,8,77,0,18,0,0,0,0,0,0,0
Boston Scott,PHI,0,0,0,0,0,0,0,0,,15,64,1,12,3,2,8,0,6,1,1
Miles Sanders,PHI,0,0,0,0,0,0,0,0,,9,64,0,27,1,1,0,0,0,0,0
Quez Watkins,PHI,0,0,0,0,0,0,0,0,,1,3,0,3,5,2,23,0,19,0,0
Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,32,0,14,0,0
Jalen Reagor,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,31,0,21,0,0
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,14,0,0
JJ Arcega-Whiteside,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Greg Ward,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Daniel Jones,NYG,19,30,202,1,0,1,8,20,94.0,9,30,0,14,0,0,0,0,0,0,0
Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,13,40,0,32,5,4,13,0,8,0,0
Devontae Booker,NYG,0,0,0,0,0,0,0,0,,3,10,0,6,1,1,17,0,17,0,0
Pharoh Cooper,NYG,0,0,0,0,0,0,0,0,,1,3,0,3,2,1,6,0,6,0,0
Kenny Golladay,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,50,0,18,0,0
Evan Engram,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,37,0,20,0,0
John Ross,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,28,0,19,0,0
Chris Myarick,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,1,10,0,0
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,1,-13,0,-13,4,3,40,0,18,0,0
