Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Deshaun Watson,HOU,21,30,219,1,0,6,52,48,101.9,7,38,0,14,0,0,0,0,0,0,0
A.J. McCarron,HOU,0,0,0,0,0,1,12,0,,0,0,0,0,0,0,0,0,0,0,0
Buddy Howell,HOU,0,0,0,0,0,0,0,0,,11,42,0,9,2,1,3,0,3,0,0
Duke Johnson,HOU,0,0,0,0,0,0,0,0,,8,26,0,10,2,2,53,0,48,1,1
C.J. Prosise,HOU,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,10,0,10,0,0
Chad Hansen,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,56,0,15,0,0
Steven Mitchell,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,38,0,15,0,0
Keke Coutee,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,24,1,11,1,1
Jordan Akins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,20,0,8,0,0
Darren Fells,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Mitchell Trubisky,CHI,24,33,267,3,0,3,26,35,126.7,4,23,0,9,0,0,0,0,0,0,0
David Montgomery,CHI,0,0,0,0,0,0,0,0,,11,113,1,80,4,3,42,0,18,0,0
Cordarrelle Patterson,CHI,0,0,0,0,0,0,0,0,,6,26,0,12,1,0,0,0,0,0,0
Darnell Mooney,CHI,0,0,0,0,0,0,0,0,,1,5,0,5,2,2,22,1,12,0,0
Javon Wims,CHI,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Allen Robinson,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,123,1,35,0,0
Cole Kmet,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,41,0,16,0,0
Jimmy Graham,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,23,1,12,0,0
Anthony Miller,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,10,0,0
