Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Derrick Kindred,CLE,1,-2,0,-2,1,0.0,5,5,0,0,0,0,0,0,1
Myles Garrett,CLE,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Jamie Collins,CLE,0,0,0,0,0,0.0,11,4,7,1,0,0,0,0,1
T.J. Carrie,CLE,0,0,0,0,0,0.0,7,7,0,0,0,0,0,0,0
Christian Kirksey,CLE,0,0,0,0,1,0.0,7,5,2,0,0,0,0,0,0
Denzel Ward,CLE,0,0,0,0,1,0.0,7,5,2,1,0,1,9,0,0
Jabrill Peppers,CLE,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Damarious Randall,CLE,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
Briean Boddy-Calhoun,CLE,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Trevon Coley,CLE,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Emmanuel Ogbah,CLE,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Larry Ogunjobi,CLE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Brian Price,CLE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Tanner Vallejo,CLE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Genard Avery,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Seth Devalve,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dontrell Hilliard,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Anthony Zettel,CLE,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Joe Haden,PIT,1,0,0,0,2,0.0,3,3,0,2,0,0,0,0,0
Stephon Tuitt,PIT,0,0,0,0,0,1.0,7,3,4,1,2,0,0,0,0
T.J. Watt,PIT,0,0,0,0,0,1.0,7,5,2,2,1,0,0,0,0
Sean Davis,PIT,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Vince Williams,PIT,0,0,0,0,0,0.0,5,1,4,0,1,0,0,0,0
Jonathan Bostic,PIT,0,0,0,0,0,0.0,4,1,3,0,1,0,0,0,0
Bud Dupree,PIT,0,0,0,0,0,0.0,4,1,3,0,2,0,0,0,0
Terrell Edmunds,PIT,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Mike Hilton,PIT,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
L.J. Fort,PIT,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Javon Hargrave,PIT,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Coty Sensabaugh,PIT,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Anthony Chickillo,PIT,0,0,0,0,1,0.0,2,2,0,1,0,0,0,0,0
Tyson Alualu,PIT,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Chris Boswell,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cameron Heyward,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Daniel McCullers,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Roosevelt Nix,PIT,0,0,0,0,0,0.0,1,1,0,0,0,1,0,0,0
Ben Roethlisberger,PIT,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
