Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Andrew Luck,IND,21,35,257,2,1,2,14,31,89.8,2,26,0,12,0,0,0,0,,0,0
Matt Hasselbeck,IND,2,3,37,0,0,0,0,21,109.0,0,0,0,,0,0,0,0,,0,0
Donald Brown,IND,0,0,0,0,0,0,0,,,3,65,0,50,2,2,11,0,9,0,0
Trent Richardson,IND,0,0,0,0,0,0,0,,,20,60,1,12,1,1,6,0,6,0,0
T.Y. Hilton,IND,0,0,0,0,0,0,0,,,2,6,0,3,9,4,45,0,18,1,0
Reggie Wayne,IND,0,0,0,0,0,0,0,,,0,0,0,,11,5,100,1,31,0,0
Coby Fleener,IND,0,0,0,0,0,0,0,,,0,0,0,,7,5,77,1,31,0,0
Darrius Heyward-Bey,IND,0,0,0,0,0,0,0,,,0,0,0,,6,3,33,0,16,0,0
Dominique Jones,IND,0,0,0,0,0,0,0,,,0,0,0,,1,1,21,0,21,0,0
Stanley Havili,IND,0,0,0,0,0,0,0,,,3,0,0,3,2,2,1,0,3,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Blaine Gabbert,JAX,17,32,179,0,3,4,14,31,30.6,2,10,0,5,0,0,0,0,,0,0
Maurice Jones-Drew,JAX,0,0,0,0,0,0,0,,,13,23,0,6,1,1,5,0,5,0,0
Jordan Todman,JAX,0,0,0,0,0,0,0,,,2,4,0,3,0,0,0,0,,0,0
Justin Forsett,JAX,0,0,0,0,0,0,0,,,1,3,0,3,2,2,10,0,12,0,0
Cecil Shorts,JAX,0,0,0,0,0,0,0,,,0,0,0,,12,7,61,0,15,0,0
Ace Sanders,JAX,0,0,0,0,0,0,0,,,0,0,0,,8,4,59,0,27,0,0
Clay Harbor,JAX,0,0,0,0,0,0,0,,,0,0,0,,3,2,39,0,31,0,0
Jeremy Ebert,JAX,0,0,0,0,0,0,0,,,0,0,0,,3,1,5,0,5,0,0
Allen Reisner,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Denard Robinson,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
