Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Sam Ehlinger,IND,15,29,103,0,1,9,60,23,45.6,5,39,0,19,0,0,0,0,0,0,0
Deon Jackson,IND,0,0,0,0,0,0,0,0,,11,23,0,5,3,2,13,0,8,0,0
Jordan Wilkins,IND,0,0,0,0,0,0,0,0,,3,13,0,5,5,4,15,0,9,0,0
Phillip Lindsay,IND,0,0,0,0,0,0,0,0,,1,2,0,2,1,0,0,0,0,0,0
Parris Campbell,IND,0,0,0,0,0,0,0,0,,1,1,0,1,5,2,15,0,11,0,0
Alec Pierce,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,23,0,23,0,0
Michael Pittman Jr.,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,22,0,10,0,0
Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,8,0,0
Jelani Woods,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,2,0,2,0,0
Kylen Granson,IND,0,0,0,0,0,0,0,0,,1,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Mac Jones,NWE,20,30,147,1,0,4,14,30,89.2,1,-2,0,-2,0,0,0,0,0,0,0
Rhamondre Stevenson,NWE,0,0,0,0,0,0,0,0,,15,60,0,16,7,3,10,1,5,0,0
J.J. Taylor,NWE,0,0,0,0,0,0,0,0,,10,9,0,5,1,1,8,0,8,0,0
Jakobi Meyers,NWE,0,0,0,0,0,0,0,0,,1,2,0,2,6,5,42,0,17,1,1
Kendrick Bourne,NWE,0,0,0,0,0,0,0,0,,1,1,0,1,4,3,11,0,10,1,0
Hunter Henry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,50,0,30,0,0
Jonnu Smith,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,21,0,24,0,0
Tyquan Thornton,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,5,0,5,0,0
