Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Patrick Mahomes,KAN,24,31,343,3,1,0,0,46,131.5,1,3,0,3,0,0,0,0,0,0,0
Clyde Edwards-Helaire,KAN,0,0,0,0,0,0,0,0,,13,46,0,9,0,0,0,0,0,1,1
Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,1,15,0,15,4,3,14,0,7,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,109,1,46,0,0
Byron Pringle,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,63,1,40,0,0
Mecole Hardman,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,55,0,19,0,0
Demarcus Robinson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,46,1,33,0,0
Blake Bell,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0
Jerick McKinnon,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
Jody Fortson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Michael Burton,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Darrel Williams,KAN,0,0,0,0,0,0,0,0,,3,-2,1,2,0,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Lamar Jackson,BAL,18,26,239,1,2,1,9,42,78.8,16,107,2,21,0,0,0,0,0,0,0
Ty'Son Williams,BAL,0,0,0,0,0,0,0,0,,13,77,0,20,2,2,16,0,9,1,0
Latavius Murray,BAL,0,0,0,0,0,0,0,0,,9,36,1,8,0,0,0,0,0,0,0
Devonta Freeman,BAL,0,0,0,0,0,0,0,0,,2,29,0,31,0,0,0,0,0,0,0
Patrick Ricard,BAL,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Marquise Brown,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,113,1,42,0,0
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,57,0,20,0,0
Sammy Watkins,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,44,0,19,0,0
Josh Oliver,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
