Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Blaine Gabbert,ARI,16,41,189,0,1,5,44,46,43.6,6,28,0,,0,0,0,0,,3,1
Kerwynn Williams,ARI,0,0,0,0,0,0,0,0,,17,61,0,12,1,0,0,0,0,0,0
Elijhaa Penny,ARI,0,0,0,0,0,0,0,0,,10,45,0,14,1,0,0,0,0,0,0
JJ Nelson,ARI,0,0,0,0,0,0,0,0,,1,7,0,7,3,1,46,0,46,0,0
Larry Fitzgerald,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,60,0,25,0,0
Troy Niklas,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,41,0,21,0,0
D.J. Foster,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,22,0,8,0,0
Ricky Seals-Jones,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,11,0,7,0,0
Jaron Brown,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,9,0,9,0,0
Gabe Holmes,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kirk Cousins,WAS,18,26,196,2,0,1,9,36,116.8,2,0,0,,0,0,0,0,,0,0
Samaje Perine,WAS,0,0,0,0,0,0,0,0,,14,37,0,6,2,2,29,0,23,0,0
Kapri Bibbs,WAS,0,0,0,0,0,0,0,0,,2,6,0,6,4,4,47,1,36,0,0
LeShun Daniels,WAS,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Jamison Crowder,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,55,1,24,0,0
Ryan Grant,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,20,0,15,0,0
Vernon Davis,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,18,0,11,1,1
Niles Paul,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Josh Doctson,WAS,0,0,0,0,0,0,0,0,,1,-14,0,-14,4,2,16,0,14,0,0
