Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Derek Carr,LVR,16,30,174,1,3,3,31,34,42.2,3,14,0,9,0,0,0,0,0,0,0
Josh Jacobs,LVR,0,0,0,0,0,0,0,0,,15,44,0,11,1,1,6,0,6,0,0
Darren Waller,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,58,0,34,0,0
Hunter Renfrow,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,42,1,14,0,0
Ameer Abdullah,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,27,0,17,0,0
Foster Moreau,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,19,0,10,0,0
Davante Adams,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,9,2,15,0,12,0,0
Mack Hollins,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Keelan Cole,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Brandon Bolden,LVR,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kenny Pickett,PIT,26,39,244,1,1,0,0,25,81.6,3,9,0,6,0,0,0,0,0,0,0
Najee Harris,PIT,0,0,0,0,0,0,0,0,,16,53,0,14,9,6,42,0,19,0,0
Jaylen Warren,PIT,0,0,0,0,0,0,0,0,,6,23,0,13,2,1,7,0,7,0,0
Connor Heyward,PIT,0,0,0,0,0,0,0,0,,1,21,0,21,3,0,0,0,0,0,0
Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,66,0,17,0,0
Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,64,0,15,0,0
George Pickens,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,57,1,25,0,0
Steven Sims,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Zach Gentry,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
Derek Watt,PIT,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
