Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill,TEN,11,24,121,1,2,2,17,19,40.5,3,55,1,45,0,0,0,0,0,1,0
Logan Woodside,TEN,0,2,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,23,98,0,10,0,0,0,0,0,0,0
Darrynton Evans,TEN,0,0,0,0,0,0,0,0,,1,3,0,3,2,0,0,0,0,0,0
A.J. Brown,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,43,0,12,0,0
Jonnu Smith,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,30,1,12,0,0
Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,19,0,19,0,0
Cameron Batson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
Jeremy McNichols,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Corey Davis,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Kalif Raymond,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Aaron Rodgers,GNB,21,25,231,4,1,1,17,32,128.1,3,19,0,14,0,0,0,0,0,1,0
AJ Dillon,GNB,0,0,0,0,0,0,0,0,,21,124,2,30,1,1,5,0,5,0,0
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,10,94,0,59,3,2,14,0,9,0,0
Davante Adams,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,12,11,142,3,32,0,0
Equanimeous St. Brown,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,1,21,0,0
Robert Tonyan,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,17,0,17,0,0
Allen Lazard,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,7,0,0
Dominique Dafney,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Tavon Austin,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,5,0,6,0,0
Tim Boyle,GNB,0,0,0,0,0,0,0,0,,3,-3,0,-1,0,0,0,0,0,0,0
