Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Eli Manning,NYG,15,30,203,2,0,2,21,55,94.2,2,-1,0,0,0,0,0,0,0,1,0
Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,17,66,0,11,4,3,1,0,2,0,0
Sterling Shepard,NYG,0,0,0,0,0,0,0,0,,1,8,0,8,7,4,28,0,8,0,0
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,154,2,55,0,0
Golden Tate,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,11,0,11,0,0
Kaden Smith,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,9,0,7,1,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Carson Wentz,PHI,33,50,325,2,0,3,25,30,97.5,5,9,0,4,0,0,0,0,0,2,1
Boston Scott,PHI,0,0,0,0,0,0,0,0,,10,59,1,25,6,6,69,0,17,0,0
Miles Sanders,PHI,0,0,0,0,0,0,0,0,,15,45,0,10,5,4,24,0,11,0,0
Jay Ajayi,PHI,0,0,0,0,0,0,0,0,,2,5,0,3,1,0,0,0,0,0,0
Zach Ertz,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,91,2,30,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,41,0,28,0,0
Joshua Perkins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,37,0,13,0,0
Greg Ward,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,34,0,13,0,0
JJ Arcega-Whiteside,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,29,0,22,0,0
Alshon Jeffery,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
