Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Damarious Randall,CLE,1,2,0,2,1,0.0,3,3,0,0,0,0,0,0,0
Myles Garrett,CLE,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Joe Schobert,CLE,0,0,0,0,0,0.0,8,6,2,1,1,0,0,0,0
Briean Boddy-Calhoun,CLE,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Jabrill Peppers,CLE,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0
T.J. Carrie,CLE,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
Anthony Zettel,CLE,0,0,0,0,0,0.0,5,2,3,1,0,0,0,0,0
Genard Avery,CLE,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Jamie Collins,CLE,0,0,0,0,1,0.0,4,2,2,0,1,0,0,0,0
Denzel Ward,CLE,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
Larry Ogunjobi,CLE,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Derrick Kindred,CLE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Orson Charles,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Trevon Coley,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Phillip Gaines,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
D'Juan Hines,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Charley Hughlett,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Emmanuel Ogbah,CLE,0,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0
Brian Price,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Tanner Vallejo,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Vontaze Burfict,CIN,0,0,0,0,1,0.0,8,2,6,0,0,0,0,0,0
Shawn Williams,CIN,0,0,0,0,0,0.0,7,6,1,1,0,0,0,0,0
Jordan Evans,CIN,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Vincent Rey,CIN,0,0,0,0,0,0.0,6,3,3,1,0,0,0,0,0
Jessie Bates III,CIN,0,0,0,0,1,0.0,5,5,0,0,0,0,0,0,0
Darqueze Dennard,CIN,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Carlos Dunlap,CIN,0,0,0,0,0,0.0,4,2,2,0,1,0,0,0,0
Sam Hubbard,CIN,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
William Jackson III,CIN,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Geno Atkins,CIN,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Andrew Billings,CIN,0,0,0,0,0,0.0,3,3,0,2,0,0,0,0,0
Brandon Bell,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Niles Scott,CIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Clayton Fejedelem,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Clark Harris,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Michael Johnson,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Darius Phillips,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Mark Walton,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jordan Willis,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
