Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Russell Wilson,SEA,16,23,149,2,0,3,20,28,116.0,4,26,1,16,0,0,0,0,0,1,0
Alex Collins,SEA,0,0,0,0,0,0,0,0,,10,44,1,14,2,2,34,0,28,0,0
Chris Carson,SEA,0,0,0,0,0,0,0,0,,13,30,0,8,1,1,1,0,1,0,0
Travis Homer,SEA,0,0,0,0,0,0,0,0,,1,5,0,5,0,0,0,0,0,0,0
D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,65,1,28,0,0
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,24,0,19,0,0
Freddie Swain,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,20,1,13,1,0
Will Dissly,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,5,0,3,1,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jimmy Garoppolo,SFO,14,23,165,1,1,1,7,26,79.1,0,0,0,0,0,0,0,0,0,0,0
Trey Lance,SFO,9,18,157,2,0,1,1,76,117.1,7,41,0,13,0,0,0,0,0,0,0
Trey Sermon,SFO,0,0,0,0,0,0,0,0,,19,89,0,15,0,0,0,0,0,0,0
Jacques Patrick,SFO,0,0,0,0,0,0,0,0,,2,12,0,8,0,0,0,0,0,0,0
Deebo Samuel,SFO,0,0,0,0,0,0,0,0,,1,1,0,1,13,8,156,2,76,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,41,0,14,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,40,0,18,0,0
Mohamed Sanu,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,35,0,12,0,0
Ross Dwelley,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,1,21,0,0
Brandon Aiyuk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,15,0,15,0,0
Jauan Jennings,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
Trent Sherfield,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
