Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Skylar Thompson,MIA,19,33,166,0,1,2,8,30,58.4,0,0,0,0,0,0,0,0,0,1,1
Teddy Bridgewater,MIA,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0
Raheem Mostert,MIA,0,0,0,0,0,0,0,0,,18,113,1,24,3,1,9,0,9,0,0
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,2,13,0,10,7,7,47,0,13,0,0
Myles Gaskin,MIA,0,0,0,0,0,0,0,0,,4,9,0,6,5,3,24,0,16,0,0
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,8,0,8,0,0
Chase Edmonds,MIA,0,0,0,0,0,0,0,0,,1,1,0,1,2,0,0,0,0,0,0
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,30,0,30,0,0
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,23,0,11,0,0
Cedrick Wilson Jr.,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,20,0,11,0,0
Trent Sherfield,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
River Cracraft,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tanner Conner,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Zach Wilson,NYJ,14,21,210,0,0,2,23,79,99.3,4,2,1,5,0,0,0,0,0,0,0
Breece Hall,NYJ,0,0,0,0,0,0,0,0,,18,97,1,17,2,2,100,0,79,0,0
Michael Carter,NYJ,0,0,0,0,0,0,0,0,,10,21,2,8,2,2,12,0,6,0,0
Braxton Berrios,NYJ,0,0,0,0,0,0,0,0,,1,15,1,15,1,1,-1,0,-1,0,0
Corey Davis,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,38,0,21,0,0
Garrett Wilson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,27,0,13,0,0
C.J. Uzomah,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,9,0,0
Jeff Smith,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Elijah Moore,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,11,0,11,0,0
Tyler Conklin,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
