Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Carson Wentz,PHI,24,42,270,2,2,8,62,55,72.5,1,2,0,2,0,0,0,0,0,2,1
Boston Scott,PHI,0,0,0,0,0,0,0,0,,9,35,0,13,2,2,19,0,12,0,0
Corey Clement,PHI,0,0,0,0,0,0,0,0,,6,19,0,7,2,2,2,0,8,0,0
Jason Huntley,PHI,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,101,1,34,0,0
Jalen Reagor,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,55,0,55,1,0
DeSean Jackson,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,46,0,27,0,0
Greg Ward,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,31,0,11,0,0
Zach Ertz,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,18,1,7,0,0
John Hightower,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,-2,0,-2,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Dwayne Haskins,WAS,17,31,178,1,0,3,19,21,82.5,7,17,0,19,0,0,0,0,0,1,0
Antonio Gibson,WAS,0,0,0,0,0,0,0,0,,9,36,0,20,2,2,8,0,6,0,0
Peyton Barber,WAS,0,0,0,0,0,0,0,0,,17,29,2,8,0,0,0,0,0,0,0
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,61,0,21,0,0
Steven Sims,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,50,0,19,1,0
Logan Thomas,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,37,1,19,0,0
Dontrelle Inman,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,21,0,11,0,0
J.D. McKissic,WAS,0,0,0,0,0,0,0,0,,3,-2,0,1,5,1,1,0,1,0,0
